GeoFIPS,GeoName,Region,ComponentId,ComponentName,IndustryId,IndustryClassification,Description,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
2000,Alaska,8,200,Gross domestic product (GDP) by state,13,...,     Durable goods manufacturing,188,191,197,207,209,210,214,205,213,192,180,185
2000,Alaska,8,200,Gross domestic product (GDP) by state,25,...,     Nondurable goods manufacturing,1275,1309,1292,1294,1326,1368,1484,1417,1446,1421,1322,1297
2000,Alaska,8,200,Gross domestic product (GDP) by state,34,42,   Wholesale trade,1201,1257,1281,1302,1275,1286,1288,1293,1251,1269,1251,1242
2000,Alaska,8,200,Gross domestic product (GDP) by state,35,44-45,   Retail trade,2140,2177,2224,2277,2232,2267,2301,2325,2324,2321,2271,2268
2000,Alaska,8,200,Gross domestic product (GDP) by state,36,48-49,   Transportation and warehousing,5510,5662,5810,5901,5937,5991,6093,6114,6135,6011,6225,6161
2000,Alaska,8,200,Gross domestic product (GDP) by state,45,51,   Information,1261,1295,1285,1310,1385,1393,1379,1419,1355,1361,1411,1432
2000,Alaska,8,200,Gross domestic product (GDP) by state,51,52,   Finance and insurance,1187,1263,1246,1228,1221,1182,1186,1189,1162,1197,1232,1273
2000,Alaska,8,200,Gross domestic product (GDP) by state,56,53,   Real estate and rental and leasing,4826,4878,4907,4941,4981,5082,5184,5011,5224,5182,5203,5365
2000,Alaska,8,200,Gross domestic product (GDP) by state,60,54,"   Professional, scientific, and technical services",1990,2013,2044,2059,2082,2070,2050,2045,1967,1943,1899,1891
2000,Alaska,8,200,Gross domestic product (GDP) by state,64,55,   Management of companies and enterprises,366,370,379,386,392,390,395,404,385,376,402,395
2000,Alaska,8,200,Gross domestic product (GDP) by state,65,56,   Administrative and waste management services,1089,1097,1119,1127,1109,1159,1159,1164,1145,1176,1161,1155
2000,Alaska,8,200,Gross domestic product (GDP) by state,69,61,   Educational services,133,136,139,141,141,142,139,142,141,142,146,149
2000,Alaska,8,200,Gross domestic product (GDP) by state,70,62,   Health care and social assistance,3251,3281,3342,3391,3441,3480,3542,3637,3580,3639,3741,3802
2000,Alaska,8,200,Gross domestic product (GDP) by state,75,71,"   Arts, entertainment, and recreation",278,277,282,286,284,287,288,294,296,306,306,305
