year,state,New Private Housing Units Authorized by Building Permits: 1-Unit Structures _y,New Private Housing Units Authorized by Building Permits _x,Durable Manufacturing Earnings ,Nondurable Manufacturing Earnings ,Homeownership Rate ,Home Vacancy Rate ,Median Household Income ,All-Transactions House Price Index ,Total Investment Securities at Book Value for Commercial Banks  (DISCONTINUED),"Job Losers and Persons Who Completed Temporary Jobs, as a Percent of the Civilian Labor Force ",Durable Manufacturing Wages and Salaries ,Nondurable Manufacturing Wages and Salaries 
2004,wv,392.5,317.0,1868164.0,1665036.0,80.3,1.5,33373.0,179.88,,3.0,1439404.0,1158536.0
2005,wv,446.5,455.0,2032956.0,1654892.0,81.3,1.7,36445.0,194.35,,2.5,1573824.0,1137508.0
2006,wv,532.1,481.0,2063972.0,1597344.0,78.4,2.0,38419.0,214.23,,2.4,1579484.0,1125680.0
2007,wv,300.0,231.0,2053800.0,1528600.0,77.6,1.5,42091.0,219.08,,2.6,1566748.0,1129672.0
2008,wv,357.1,343.0,2059508.0,1454728.0,77.8,2.2,37994.0,221.98,,2.3,1565968.0,1109636.0
2009,wv,96.4,107.0,1885072.0,1366852.0,78.7,2.0,40490.0,219.19,,2.8,1440976.0,1038700.0
2010,wv,143.2,129.0,1730896.0,1419952.0,79.0,2.1,42777.0,211.61,,5.3,1334536.0,1049416.0
2011,wv,109.9,75.0,1837336.0,1457120.0,78.7,2.4,41821.0,210.2,,4.8,1437848.0,1105640.0
2012,wv,105.7,74.0,1932036.0,1514860.0,75.8,2.0,43553.0,208.74,,3.9,1510644.0,1096132.0
2013,wv,186.4,159.0,1833184.0,1513088.0,76.8,1.8,43069.0,211.05,,4.1,1445140.0,1127804.0
2014,wv,178.8,141.0,1820944.0,1513804.0,75.6,2.2,39552.0,215.64,,3.6,1454384.0,1147072.0
2015,wv,142.3,129.0,1868596.0,1567860.0,74.9,1.8,42824.0,218.84,,3.3,1469676.0,1181900.0
2016,wv,172.4,138.0,1911256.0,1558412.0,74.8,1.6,44354.0,225.5,,3.1,1485816.0,1158192.0
2017,wv,193.2,206.0,1941504.0,1727104.0,75.1,1.8,45392.0,228.64,,2.8,1511004.0,1263696.0
2018,wv,184.4,159.0,2037210.0,1656306.0,,,,236.03,,2.7,1583761.0,1195139.0
1992,wi,1827.0,1278.0,,,69.4,1.6,33308.0,147.18,11690507.0,,,
1993,wi,1864.1,1273.0,,,65.7,1.0,31766.0,154.82,12714108.0,,,
1994,wi,1553.6,1100.0,,,64.2,0.8,35388.0,165.62,,,,
1995,wi,1741.4,1217.0,,,67.5,0.9,40955.0,177.9,,,,
1996,wi,1729.6,1239.0,,,68.2,1.0,40001.0,188.0,,,,
1997,wi,1607.7,1080.0,,,68.3,0.6,39595.0,196.39,,,,
1998,wi,1607.7,1274.0,17447900.0,9393808.0,70.1,0.7,41327.0,204.1,,,13640992.0,7591028.0
1999,wi,1805.4,1211.0,17677220.0,9672472.0,70.9,0.9,45667.0,213.38,,,14060456.0,7819560.0
2000,wi,1843.1,1481.0,18916308.0,10279164.0,71.8,1.2,45088.0,227.68,,,15037396.0,8317192.0
2001,wi,2196.2,1474.0,18858676.0,10642212.0,72.3,1.2,45346.0,238.64,,,14422148.0,8487504.0
2002,wi,2112.7,1616.0,18128976.0,10411748.0,72.2,1.1,45903.0,251.02,,,13458556.0,8129116.0
2003,wi,2499.8,2111.0,17817868.0,10319484.0,72.8,0.8,46269.0,261.68,,,13602500.0,8080264.0
2004,wi,2298.6,1895.0,17739236.0,10496880.0,73.3,1.5,45732.0,278.86,,3.2,13863864.0,8012624.0
2005,wi,2247.5,1770.0,19120312.0,10623360.0,71.1,1.6,44650.0,303.95,,2.8,14779264.0,8317356.0
2006,wi,2261.2,1645.0,19711156.0,11119420.0,70.2,1.2,51692.0,320.79,,2.5,15394636.0,8389684.0
2007,wi,1528.3,1257.0,19980528.0,11708380.0,70.5,1.7,51277.0,327.23,,2.5,15652480.0,8761268.0
2008,wi,1102.5,807.0,20619432.0,11779084.0,70.4,2.1,51200.0,327.6,,2.5,16146544.0,8740920.0
2009,wi,367.3,264.0,18439388.0,10788852.0,70.4,2.2,51237.0,319.23,,3.2,13963452.0,8064728.0
2010,wi,780.0,420.0,16904608.0,10873696.0,71.0,1.6,50351.0,302.49,,6.2,12969476.0,8256444.0
2011,wi,609.6,527.0,18792280.0,11457372.0,68.5,2.1,52058.0,295.4,,4.7,14625276.0,8625696.0
2012,wi,502.8,358.0,19873852.0,12129136.0,67.5,1.5,53079.0,291.65,,4.1,15426172.0,8947268.0
2013,wi,755.3,496.0,20742024.0,12419568.0,68.5,1.3,51726.0,291.15,,4.1,16039804.0,9236576.0
2014,wi,567.7,555.0,20267488.0,13007468.0,67.8,1.7,58080.0,289.84,,3.5,16147364.0,9587348.0
2015,wi,823.3,771.0,20831492.0,13665816.0,66.6,1.2,55425.0,300.49,,2.8,16629232.0,9935272.0
2016,wi,915.9,966.0,20682168.0,13720272.0,67.7,1.5,59817.0,311.66,,2.3,16564300.0,9975552.0
2017,wi,921.1,679.0,21163740.0,13923524.0,68.0,1.1,63451.0,326.03,,2.0,16880812.0,10533192.0
2018,wi,1064.3,766.0,21797697.0,14126874.0,,,,344.51,,1.6,17371543.0,10628038.0
1992,wy,54.7,24.0,,,67.9,1.5,30209.0,97.46,2100574.0,,,
1993,wy,111.0,50.0,,,67.1,1.3,29442.0,103.33,2067646.0,,,
1994,wy,206.4,108.0,,,65.8,1.3,33140.0,114.36,,,,
1995,wy,112.9,60.0,,,69.0,1.4,31529.0,124.3,,,,
1996,wy,114.4,80.0,,,68.0,1.4,30953.0,132.79,,,,
1997,wy,105.7,65.0,,,67.6,2.6,33423.0,136.23,,,,
1998,wy,117.6,96.0,174704.0,233008.0,70.0,2.0,35250.0,142.81,,,139088.0,181356.0
1999,wy,132.8,77.0,183452.0,234644.0,69.8,2.3,37248.0,144.54,,,147264.0,183104.0
2000,wy,123.1,88.0,194544.0,238508.0,71.0,2.3,39629.0,150.66,,,156428.0,187192.0
2001,wy,114.9,90.0,199356.0,311880.0,73.5,2.2,39719.0,158.0,,,157488.0,231116.0
2002,wy,123.3,75.0,,,73.0,1.3,39763.0,168.74,,,,
2003,wy,154.9,93.0,,,72.9,1.3,42555.0,177.98,,,,
2004,wy,161.4,156.0,,,72.8,1.2,45397.0,192.07,,1.9,,
2005,wy,204.2,146.0,232116.0,301232.0,72.8,1.1,44718.0,212.82,,1.5,182968.0,218116.0
2006,wy,235.2,167.0,259072.0,313036.0,73.7,1.4,47041.0,239.9,,1.4,199892.0,224456.0
2007,wy,245.9,170.0,288408.0,344784.0,73.2,1.7,48744.0,267.53,,1.3,222360.0,251464.0
2008,wy,182.7,123.0,297084.0,363928.0,73.3,1.6,53337.0,280.86,,1.2,227480.0,266212.0
2009,wy,90.3,78.0,275032.0,338248.0,73.8,1.9,52470.0,280.08,,1.7,224796.0,245540.0
2010,wy,115.9,68.0,229124.0,367988.0,73.4,2.0,52201.0,267.06,,4.6,194692.0,263968.0
2011,wy,107.9,84.0,255712.0,377988.0,71.1,1.3,54509.0,264.05,,3.3,218220.0,275688.0
2012,wy,143.2,84.0,303200.0,409444.0,70.3,1.4,57512.0,265.24,,2.8,238644.0,286572.0
2013,wy,119.2,74.0,315248.0,434508.0,70.5,1.6,67441.0,271.67,,2.4,238052.0,303992.0
2014,wy,124.5,69.0,349496.0,504180.0,70.8,1.6,55690.0,278.93,,2.1,255704.0,348140.0
2015,wy,113.5,70.0,351776.0,533500.0,69.9,1.3,60925.0,289.93,,1.9,263772.0,371076.0
2016,wy,123.4,93.0,316024.0,564984.0,70.2,2.2,57829.0,296.23,,2.8,232856.0,395064.0
2017,wy,101.8,63.0,,,70.4,2.7,57837.0,302.14,,3.1,,
2018,wy,138.4,76.0,,,,,,316.36,,2.0,,
