GeoFIPS,GeoName,Region,Description,2014,2015,2016
" ""32000"" ",Nevada,8,  RPPs: Services: Rents,95.2,95.3,94.7
" ""32000"" ",Nevada,8,  RPPs: Services: Other,101.1,101.1,101.1
" ""33000"" ",New Hampshire,1,RPPs: All items,105.7,105.5,105.9
" ""33000"" ",New Hampshire,1,  RPPs: Goods,100.4,100.4,100.4
" ""33000"" ",New Hampshire,1,  RPPs: Services: Rents,119.4,118.1,118.3
" ""33000"" ",New Hampshire,1,  RPPs: Services: Other,104.6,104.5,104.4
" ""34000"" ",New Jersey,2,RPPs: All items,113.8,113.2,113.2
" ""34000"" ",New Jersey,2,  RPPs: Goods,102.5,102.5,102.7
" ""34000"" ",New Jersey,2,  RPPs: Services: Rents,136.3,132.8,132.5
" ""34000"" ",New Jersey,2,  RPPs: Services: Other,113,112.9,113.4
" ""35000"" ",New Mexico,6,RPPs: All items,94.7,94.1,93.6
" ""35000"" ",New Mexico,6,  RPPs: Goods,96.9,97,97
" ""35000"" ",New Mexico,6,  RPPs: Services: Rents,83.8,81.2,80.2
" ""35000"" ",New Mexico,6,  RPPs: Services: Other,99.7,99.7,99.8
" ""36000"" ",New York,2,RPPs: All items,115.7,115.3,115.6
" ""36000"" ",New York,2,  RPPs: Goods,108.6,108.6,109
" ""36000"" ",New York,2,  RPPs: Services: Rents,135.8,133.9,133.2
" ""36000"" ",New York,2,  RPPs: Services: Other,111.6,111.5,111.6
" ""37000"" ",North Carolina,5,RPPs: All items,91.4,91.1,90.9
" ""37000"" ",North Carolina,5,  RPPs: Goods,96.3,96.3,96.3
" ""37000"" ",North Carolina,5,  RPPs: Services: Rents,79.8,78.7,78.6
" ""37000"" ",North Carolina,5,  RPPs: Services: Other,93.3,93.3,93.3
" ""38000"" ",North Dakota,4,RPPs: All items,91.6,92.4,91.5
" ""38000"" ",North Dakota,4,  RPPs: Goods,95.2,95.2,95
" ""38000"" ",North Dakota,4,  RPPs: Services: Rents,82.4,86.4,82.8
" ""38000"" ",North Dakota,4,  RPPs: Services: Other,91.7,91.7,91.6
" ""39000"" ",Ohio,3,RPPs: All items,89.4,89.4,89.3
" ""39000"" ",Ohio,3,  RPPs: Goods,96.2,96.2,96.1
" ""39000"" ",Ohio,3,  RPPs: Services: Rents,72.9,72.9,72.8
" ""39000"" ",Ohio,3,  RPPs: Services: Other,91.9,91.8,91.9
" ""40000"" ",Oklahoma,6,RPPs: All items,89.5,89.7,89
" ""40000"" ",Oklahoma,6,  RPPs: Goods,95.5,95.5,95.5
" ""40000"" ",Oklahoma,6,  RPPs: Services: Rents,71.3,72,70.1
" ""40000"" ",Oklahoma,6,  RPPs: Services: Other,93.3,93.3,93.3
" ""41000"" ",Oregon,8,RPPs: All items,98.8,98.9,99.8
" ""41000"" ",Oregon,8,  RPPs: Goods,99,99,98.9
" ""41000"" ",Oregon,8,  RPPs: Services: Rents,101.2,101.5,106
" ""41000"" ",Oregon,8,  RPPs: Services: Other,97.4,97.3,97.2
" ""42000"" ",Pennsylvania,2,RPPs: All items,98.1,98.1,98.4
" ""42000"" ",Pennsylvania,2,  RPPs: Goods,99.3,99.3,99.4
" ""42000"" ",Pennsylvania,2,  RPPs: Services: Rents,88.7,88.7,88.8
" ""42000"" ",Pennsylvania,2,  RPPs: Services: Other,102.6,102.5,102.7
" ""44000"" ",Rhode Island,1,RPPs: All items,99.8,99.5,99.6
" ""44000"" ",Rhode Island,1,  RPPs: Goods,98.3,98.3,98.3
" ""44000"" ",Rhode Island,1,  RPPs: Services: Rents,101.7,100.2,100.6
" ""44000"" ",Rhode Island,1,  RPPs: Services: Other,100.4,100.3,100.3
" ""45000"" ",South Carolina,5,RPPs: All items,90,90.2,90.3
" ""45000"" ",South Carolina,5,  RPPs: Goods,96.6,96.6,96.7
" ""45000"" ",South Carolina,5,  RPPs: Services: Rents,75.7,76.3,77.1
" ""45000"" ",South Carolina,5,  RPPs: Services: Other,93.2,93.2,93.3
" ""46000"" ",South Dakota,4,RPPs: All items,88,88.3,88.3
" ""46000"" ",South Dakota,4,  RPPs: Goods,95.1,95.1,94.9
" ""46000"" ",South Dakota,4,  RPPs: Services: Rents,67.3,68.5,69.3
" ""46000"" ",South Dakota,4,  RPPs: Services: Other,91.6,91.6,91.5
" ""47000"" ",Tennessee,5,RPPs: All items,89.8,89.8,90.2
" ""47000"" ",Tennessee,5,  RPPs: Goods,96.1,96.1,96.2
" ""47000"" ",Tennessee,5,  RPPs: Services: Rents,73.7,73.7,75.8
" ""47000"" ",Tennessee,5,  RPPs: Services: Other,93.3,93.3,93.3
" ""48000"" ",Texas,6,RPPs: All items,96.5,96.8,96.9
" ""48000"" ",Texas,6,  RPPs: Goods,97.3,97.3,97.2
" ""48000"" ",Texas,6,  RPPs: Services: Rents,91.4,92.9,93.7
" ""48000"" ",Texas,6,  RPPs: Services: Other,98.7,98.7,98.6
" ""49000"" ",Utah,7,RPPs: All items,96.8,96.7,97.3
" ""49000"" ",Utah,7,  RPPs: Goods,96.6,96.6,96.7
" ""49000"" ",Utah,7,  RPPs: Services: Rents,92,91.2,94.3
" ""49000"" ",Utah,7,  RPPs: Services: Other,100.2,100.2,100.3
" ""50000"" ",Vermont,1,RPPs: All items,102.5,102.3,101.6
" ""50000"" ",Vermont,1,  RPPs: Goods,98.3,98.3,98.4
" ""50000"" ",Vermont,1,  RPPs: Services: Rents,118.3,117,113.2
" ""50000"" ",Vermont,1,  RPPs: Services: Other,100.3,100.3,100.3
" ""51000"" ",Virginia,5,RPPs: All items,102.7,102.6,102.3
" ""51000"" ",Virginia,5,  RPPs: Goods,99.6,99.6,99.6
" ""51000"" ",Virginia,5,  RPPs: Services: Rents,112.3,111.8,109.7
" ""51000"" ",Virginia,5,  RPPs: Services: Other,100.8,100.8,100.8
" ""53000"" ",Washington,8,RPPs: All items,104.9,105,105.5
" ""53000"" ",Washington,8,  RPPs: Goods,103.7,103.7,103.7
" ""53000"" ",Washington,8,  RPPs: Services: Rents,112.7,113.2,116.1
" ""53000"" ",Washington,8,  RPPs: Services: Other,102.1,102,101.9
