"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"46000","South Dakota","4","SA25 1/","468","27","          Printing and publishing",1909,1904,1889,1974,2002,2050,2081,2193,2278,2323,2519,2555,2635,2635,2684,2762,2793,2885,2899,2946,3002,3037,3087,3257,3283,3475,3545,3566,3630,3557,3582,3542,"(NA)"
"46000","South Dakota","4","SA25 1/","471","28","          Chemicals and allied products",108,122,104,92,127,178,164,310,350,356,379,150,210,228,211,209,303,351,380,161,140,188,194,200,205,195,214,191,237,282,343,333,"(NA)"
"46000","South Dakota","4","SA25 1/","474","29","          Petroleum and coal products",30,35,28,149,148,154,162,153,140,27,22,19,27,"(L)","(L)","(L)","(L)","(L)","(L)",12,"(D)","(L)","(L)","(L)","(L)",0,0,0,0,"(D)","(D)",0,"(NA)"
"46000","South Dakota","4","SA25 1/","477","30","          Rubber and miscellaneous plastics products",230,221,233,330,426,455,419,433,510,583,510,617,620,567,623,798,858,831,963,1513,1587,1789,1719,1746,1621,1608,1705,1692,1734,1748,1814,1749,"(NA)"
"46000","South Dakota","4","SA25 1/","480","31","          Leather and leather products",90,116,178,159,182,184,189,179,192,173,171,208,277,149,148,98,64,"(D)",45,"(D)","(D)","(D)",46,53,78,"(D)",84,68,62,69,50,52,"(NA)"
"46000","South Dakota","4","SA25 1/","500","E","      Transportation and public utilities",12774,13237,13311,13881,14383,14973,14805,14641,15399,16265,16620,16492,15813,15630,15441,15745,15963,16148,17113,17692,17741,17417,18103,18323,19051,20212,20596,20934,20752,21634,21745,22385,22684
"46000","South Dakota","4","SA25 1/","510","40","        Railroad transportation",1430,1223,1246,1236,1266,1306,1259,1285,1358,1300,1283,1225,1135,964,838,820,752,739,727,710,702,699,697,706,691,694,730,728,732,748,755,712,"(NA)"
"46000","South Dakota","4","SA25 1/","520","42","        Trucking and warehousing",4863,5198,5392,5937,6326,6668,6538,6383,6932,7616,7801,7653,7105,7074,7160,7592,7685,7920,8588,8856,8727,8493,9148,8722,9054,9532,9770,10012,9615,10364,10460,10903,"(NA)"
"46000","South Dakota","4","SA25 1/","530","44","        Water transportation",0,48,18,64,46,40,30,34,32,31,36,38,29,32,28,25,32,37,50,45,33,42,36,43,33,84,69,82,78,"(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA25 1/","540","41, 45-47","        Other transportation",1126,1263,1308,1256,1272,1392,1369,1363,1414,1494,1484,1531,1545,1683,1709,1826,1881,2002,2012,2208,2334,2431,2602,3205,3550,3813,3869,3886,3898,"(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA25 1/","541","41","          Local and interurban passenger transit",609,738,784,737,716,724,719,763,817,863,815,789,808,825,822,860,920,984,966,960,1003,1022,1106,1185,1279,1359,1377,1385,1420,1423,1432,1506,"(NA)"
"46000","South Dakota","4","SA25 1/","542","45","          Transportation by air",273,276,308,308,335,386,417,373,376,407,411,432,422,432,411,429,415,436,467,686,739,788,844,1413,1596,1691,1733,1738,1689,1814,1813,1861,"(NA)"
"46000","South Dakota","4","SA25 1/","543","46","          Pipelines, except natural gas",50,49,48,49,48,48,50,52,58,62,63,65,62,60,63,63,64,61,63,65,54,50,52,47,47,45,44,48,44,"(D)",50,"(D)","(NA)"
"46000","South Dakota","4","SA25 1/","544","47","          Transportation services",194,200,168,162,173,234,183,175,163,162,195,245,253,366,413,474,482,521,516,497,538,571,600,560,628,718,715,715,745,695,"(D)",722,"(NA)"
"46000","South Dakota","4","SA25 1/","560","48","        Communications",2807,2964,2821,2845,2866,2998,3014,3014,3101,3225,3374,3361,3338,3231,3112,2932,3000,2851,2972,3128,3284,3180,3113,3155,3207,3408,3568,3702,3969,4065,4044,4152,"(NA)"
"46000","South Dakota","4","SA25 1/","570","49","        Electric, gas, and sanitary services",2548,2541,2526,2543,2607,2569,2595,2562,2562,2599,2642,2684,2661,2646,2594,2550,2613,2599,2764,2745,2661,2572,2507,2492,2516,2681,2590,2524,2460,2425,2435,2431,"(NA)"
"46000","South Dakota","4","SA25 1/","610","F","      Wholesale trade",11152,11076,11357,11560,11986,12596,17447,17712,18088,18814,19359,19288,18616,17973,17550,18097,17901,17508,17984,19069,19511,19786,20422,20867,20092,20696,21240,21122,21303,21580,21605,21479,21413
