date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
6/30/14,93,697,564,133,604,484,120,Construction
9/30/14,79,666,544,122,587,475,112,Construction
12/31/14,61,668,545,123,607,486,121,Construction
3/31/15,38,662,536,126,624,508,116,Construction
6/30/15,99,699,573,126,600,485,115,Construction
9/30/15,50,654,536,118,604,490,114,Construction
12/31/15,114,704,574,130,590,475,115,Construction
3/31/16,55,675,552,123,620,508,112,Construction
6/30/16,10,660,543,117,650,524,126,Construction
9/30/16,48,668,534,134,620,506,114,Construction
12/31/16,16,653,532,121,637,517,120,Construction
3/31/17,128,717,587,130,589,479,110,Construction
6/30/17,45,686,563,123,641,525,116,Construction
9/30/17,-41,622,504,118,663,541,122,Construction
12/31/17,111,719,582,137,608,491,117,Construction
3/31/18,132,716,590,126,584,476,108,Construction
9/30/92,56,1976,1591,385,1920,1566,354,Goods-producing
12/31/92,-45,1878,1530,348,1923,1560,363,Goods-producing
3/31/93,-16,1873,1486,387,1889,1521,368,Goods-producing
6/30/93,91,1891,1537,354,1800,1462,338,Goods-producing
9/30/93,183,2015,1647,368,1832,1498,334,Goods-producing
12/31/93,140,1972,1615,357,1832,1500,332,Goods-producing
3/31/94,36,1889,1542,347,1853,1503,350,Goods-producing
6/30/94,257,2039,1652,387,1782,1427,355,Goods-producing
9/30/94,317,2106,1727,379,1789,1473,316,Goods-producing
12/31/94,129,1982,1639,343,1853,1506,347,Goods-producing
3/31/95,111,1975,1613,362,1864,1534,330,Goods-producing
6/30/95,-21,1911,1538,373,1932,1586,346,Goods-producing
9/30/95,144,2063,1691,372,1919,1558,361,Goods-producing
12/31/95,58,1999,1634,365,1941,1582,359,Goods-producing
3/31/96,12,1966,1589,377,1954,1612,342,Goods-producing
6/30/96,111,1989,1616,373,1878,1537,341,Goods-producing
9/30/96,116,2024,1652,372,1908,1566,342,Goods-producing
12/31/96,134,2016,1653,363,1882,1529,353,Goods-producing
3/31/97,152,2032,1659,373,1880,1534,346,Goods-producing
6/30/97,90,1980,1605,375,1890,1539,351,Goods-producing
9/30/97,171,2118,1720,398,1947,1554,393,Goods-producing
12/31/97,169,2111,1700,411,1942,1519,423,Goods-producing
3/31/98,141,2087,1646,441,1946,1551,395,Goods-producing
6/30/98,60,2026,1596,430,1966,1586,380,Goods-producing
9/30/98,54,1998,1632,366,1944,1593,351,Goods-producing
12/31/98,104,1994,1679,315,1890,1551,339,Goods-producing
3/31/99,-101,1994,1613,381,2095,1697,398,Goods-producing
6/30/99,-25,1961,1585,376,1986,1621,365,Goods-producing
9/30/99,48,2029,1658,371,1981,1606,375,Goods-producing
12/31/99,181,2038,1679,359,1857,1514,343,Goods-producing
3/31/00,190,2099,1716,383,1909,1545,364,Goods-producing
6/30/00,-41,1926,1599,327,1967,1607,360,Goods-producing
9/30/00,-131,1936,1595,341,2067,1684,383,Goods-producing
12/31/00,-34,1925,1607,318,1959,1611,348,Goods-producing
3/31/01,-140,1943,1591,352,2083,1711,372,Goods-producing
6/30/01,-499,1741,1437,304,2240,1885,355,Goods-producing
9/30/01,-473,1711,1396,315,2184,1809,375,Goods-producing
12/31/01,-445,1671,1363,308,2116,1763,353,Goods-producing
3/31/02,-250,1773,1457,316,2023,1663,360,Goods-producing
6/30/02,-238,1717,1401,316,1955,1604,351,Goods-producing
9/30/02,-179,1685,1388,297,1864,1531,333,Goods-producing
12/31/02,-210,1645,1352,293,1855,1530,325,Goods-producing
3/31/03,-232,1698,1391,307,1930,1578,352,Goods-producing
6/30/03,-221,1637,1351,286,1858,1535,323,Goods-producing
9/30/03,-104,1640,1358,282,1744,1445,299,Goods-producing
12/31/03,7,1674,1394,280,1667,1374,293,Goods-producing
3/31/04,116,1783,1489,294,1667,1361,306,Goods-producing
6/30/04,54,1698,1423,275,1644,1337,307,Goods-producing
9/30/04,16,1695,1408,287,1679,1366,313,Goods-producing
12/31/04,124,1737,1442,295,1613,1322,291,Goods-producing
3/31/05,78,1753,1450,303,1675,1364,311,Goods-producing
6/30/05,27,1695,1418,277,1668,1381,287,Goods-producing
9/30/05,78,1733,1442,291,1655,1367,288,Goods-producing
12/31/05,163,1763,1474,289,1600,1336,264,Goods-producing
3/31/06,191,1773,1484,289,1582,1324,258,Goods-producing
6/30/06,13,1682,1420,262,1669,1394,275,Goods-producing
9/30/06,-164,1593,1336,257,1757,1476,281,Goods-producing
12/31/06,-44,1662,1395,267,1706,1442,264,Goods-producing
3/31/07,-16,1698,1427,271,1714,1442,272,Goods-producing
6/30/07,-89,1627,1372,255,1716,1436,280,Goods-producing
9/30/07,-227,1516,1264,252,1743,1468,275,Goods-producing
12/31/07,-97,1601,1350,251,1698,1422,276,Goods-producing
3/31/08,-241,1535,1282,253,1776,1493,283,Goods-producing
6/30/08,-297,1505,1262,243,1802,1502,300,Goods-producing
