date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
9/30/08,-378,1429,1196,233,1807,1523,284,Goods-producing
12/31/08,-734,1327,1098,229,2061,1752,309,Goods-producing
3/31/09,-1215,1105,901,204,2320,2015,305,Goods-producing
6/30/09,-891,1268,1041,227,2159,1858,301,Goods-producing
9/30/09,-332,1352,1138,214,1684,1390,294,Goods-producing
12/31/09,-248,1327,1089,238,1575,1309,266,Goods-producing
3/31/10,-177,1306,1094,212,1483,1223,260,Goods-producing
6/30/10,153,1468,1233,235,1315,1085,230,Goods-producing
9/30/10,49,1385,1165,220,1336,1094,242,Goods-producing
12/31/10,-20,1380,1146,234,1400,1154,246,Goods-producing
3/31/11,32,1327,1120,207,1295,1070,225,Goods-producing
6/30/11,142,1412,1186,226,1270,1036,234,Goods-producing
9/30/11,203,1477,1242,235,1274,1062,212,Goods-producing
12/31/11,21,1369,1145,224,1348,1120,228,Goods-producing
3/31/12,144,1405,1192,213,1261,1048,213,Goods-producing
6/30/12,97,1395,1180,215,1298,1083,215,Goods-producing
9/30/12,47,1353,1138,215,1306,1093,213,Goods-producing
12/31/12,52,1367,1150,217,1315,1098,217,Goods-producing
3/31/13,121,1364,1155,209,1243,1034,209,Goods-producing
6/30/13,100,1377,1163,214,1277,1069,208,Goods-producing
9/30/13,86,1346,1129,217,1260,1063,197,Goods-producing
12/31/13,45,1359,1153,206,1314,1104,210,Goods-producing
3/31/14,153,1371,1172,199,1218,1023,195,Goods-producing
6/30/14,168,1415,1211,204,1247,1042,205,Goods-producing
9/30/14,130,1363,1163,200,1233,1045,188,Goods-producing
12/31/14,119,1391,1193,198,1272,1073,199,Goods-producing
3/31/15,20,1337,1142,195,1317,1125,192,Goods-producing
6/30/15,63,1395,1199,196,1332,1138,194,Goods-producing
9/30/15,-11,1297,1109,188,1308,1114,194,Goods-producing
12/31/15,50,1367,1163,204,1317,1120,197,Goods-producing
3/31/16,13,1318,1125,193,1305,1116,189,Goods-producing
6/30/16,-45,1334,1147,187,1379,1171,208,Goods-producing
9/30/16,12,1317,1110,207,1305,1111,194,Goods-producing
12/31/16,18,1317,1124,193,1299,1103,196,Goods-producing
3/31/17,205,1414,1214,200,1209,1020,189,Goods-producing
6/30/17,105,1400,1205,195,1295,1094,201,Goods-producing
9/30/17,-60,1271,1083,188,1331,1129,202,Goods-producing
12/31/17,202,1435,1226,209,1233,1039,194,Goods-producing
3/31/18,216,1390,1200,190,1174,997,177,Goods-producing
9/30/92,18,866,732,134,848,716,132,Manufacturing
12/31/92,-67,812,699,113,879,742,137,Manufacturing
3/31/93,20,880,722,158,860,707,153,Manufacturing
6/30/93,-19,810,694,116,829,698,131,Manufacturing
9/30/93,68,870,752,118,802,678,124,Manufacturing
12/31/93,26,842,724,118,816,697,119,Manufacturing
3/31/94,19,831,706,125,812,674,138,Manufacturing
6/30/94,137,903,763,140,766,619,147,Manufacturing
9/30/94,184,918,798,120,734,632,102,Manufacturing
12/31/94,83,873,760,113,790,668,122,Manufacturing
3/31/95,94,886,754,132,792,674,118,Manufacturing
6/30/95,-35,817,686,131,852,730,122,Manufacturing
9/30/95,18,871,747,124,853,716,137,Manufacturing
12/31/95,6,851,728,123,845,720,125,Manufacturing
3/31/96,-39,839,709,130,878,750,128,Manufacturing
6/30/96,3,836,714,122,833,715,118,Manufacturing
9/30/96,35,849,727,122,814,687,127,Manufacturing
12/31/96,53,849,740,109,796,669,127,Manufacturing
3/31/97,53,857,730,127,804,674,130,Manufacturing
6/30/97,47,856,715,141,809,677,132,Manufacturing
9/30/97,66,906,765,141,840,685,155,Manufacturing
12/31/97,121,942,774,168,821,652,169,Manufacturing
3/31/98,92,920,744,176,828,670,158,Manufacturing
6/30/98,-60,831,677,154,891,737,154,Manufacturing
9/30/98,-41,813,691,122,854,724,130,Manufacturing
12/31/98,-61,789,696,93,850,724,126,Manufacturing
3/31/99,-95,830,696,134,925,755,170,Manufacturing
6/30/99,-77,793,658,135,870,737,133,Manufacturing
9/30/99,-1,837,710,127,838,702,136,Manufacturing
12/31/99,49,838,720,118,789,663,126,Manufacturing
3/31/00,18,835,706,129,817,674,143,Manufacturing
6/30/00,-51,780,682,98,831,704,127,Manufacturing
9/30/00,-131,752,655,97,883,751,132,Manufacturing
12/31/00,-60,775,683,92,835,711,124,Manufacturing
3/31/01,-248,722,623,99,970,832,138,Manufacturing
6/30/01,-489,605,524,81,1094,961,133,Manufacturing
9/30/01,-382,619,526,93,1001,862,139,Manufacturing
12/31/01,-405,579,489,90,984,842,142,Manufacturing
3/31/02,-220,648,562,86,868,734,134,Manufacturing
6/30/02,-173,632,540,92,805,675,130,Manufacturing
9/30/02,-162,597,516,81,759,645,114,Manufacturing
12/31/02,-198,568,495,73,766,655,111,Manufacturing
3/31/03,-191,603,524,79,794,668,126,Manufacturing
6/30/03,-246,527,454,73,773,667,106,Manufacturing
9/30/03,-129,555,482,73,684,589,95,Manufacturing
12/31/03,-57,574,508,66,631,541,90,Manufacturing
3/31/04,12,633,563,70,621,523,98,Manufacturing
6/30/04,9,595,530,65,586,493,93,Manufacturing
9/30/04,3,598,527,71,595,497,98,Manufacturing
12/31/04,-26,577,511,66,603,506,97,Manufacturing
3/31/05,-16,578,517,61,594,497,97,Manufacturing
6/30/05,-61,551,491,60,612,530,82,Manufacturing
9/30/05,-34,569,506,63,603,523,80,Manufacturing
12/31/05,25,587,528,59,562,490,72,Manufacturing
3/31/06,4,544,492,52,540,478,62,Manufacturing
6/30/06,-13,549,495,54,562,491,71,Manufacturing
9/30/06,-91,517,465,52,608,538,70,Manufacturing
