date,contract_establish,end_establish,expand_establish,net_change,open_establish,total_contract,total_expand,state
9/30/04,148091,27180,156420,12171,31022,175271,187442,Virginia
12/31/04,146093,25126,161413,23652,33458,171219,194871,Virginia
3/31/05,146584,30207,162259,18798,33330,176791,195589,Virginia
6/30/05,152299,28334,161742,12513,31404,180633,193146,Virginia
9/30/05,151773,25071,167176,28420,38088,176844,205264,Virginia
12/31/05,156259,29978,154577,4247,35907,186237,190484,Virginia
3/31/06,144099,26196,170825,30490,29960,170295,200785,Virginia
6/30/06,164851,30644,160168,-1435,33892,195495,194060,Virginia
9/30/06,162479,30162,149684,-12432,30525,192641,180209,Virginia
12/31/06,154316,28233,157068,7342,32823,182549,189891,Virginia
3/31/07,148284,30711,164979,23678,37694,178995,202673,Virginia
6/30/07,157205,31043,155193,2106,35161,188248,190354,Virginia
9/30/07,156937,30222,143700,-9526,33933,187159,177633,Virginia
12/31/07,156396,30440,155293,-4964,26579,186836,181872,Virginia
3/31/08,153919,32402,144322,6227,48226,186321,192548,Virginia
6/30/08,161650,32123,151554,-5918,36301,193773,187855,Virginia
9/30/08,161024,35850,141599,-18368,36907,196874,178506,Virginia
12/31/08,178850,34356,134888,-43077,35241,213206,170129,Virginia
3/31/09,171548,34862,122834,-55824,27752,206410,150586,Virginia
6/30/09,161268,35965,134999,-29851,32383,197233,167382,Virginia
9/30/09,149301,30353,127134,-20235,32285,179654,159419,Virginia
12/31/09,137824,29356,134489,-1251,31440,167180,165929,Virginia
3/31/10,135639,32125,126525,-12419,28820,167764,155345,Virginia
6/30/10,133917,31488,149662,21324,37067,165405,186729,Virginia
9/30/10,141623,32619,142220,1958,33980,174242,176200,Virginia
12/31/10,134486,31101,140587,10360,35360,165587,175947,Virginia
3/31/11,127750,29664,137068,9124,29470,157414,166538,Virginia
6/30/11,135006,30687,139567,7430,33556,165693,173123,Virginia
9/30/11,134309,24762,140241,14377,33207,159071,173448,Virginia
12/31/11,139764,34037,141370,2255,34686,173801,176056,Virginia
3/31/12,131440,28755,146029,16465,30631,160195,176660,Virginia
6/30/12,141021,27716,140447,225,28515,168737,168962,Virginia
9/30/12,142837,34831,146836,8722,39554,177668,186390,Virginia
12/31/12,133585,31930,140545,11593,36563,165515,177108,Virginia
3/31/13,132875,27899,139268,7494,29000,160774,168268,Virginia
6/30/13,135582,29369,140400,-200,24351,164951,164751,Virginia
9/30/13,140663,31908,143995,1193,29769,172571,173764,Virginia
12/31/13,135490,30535,139441,3401,29985,166025,169426,Virginia
3/31/14,136181,27134,130202,-3328,29785,163315,159987,Virginia
6/30/14,134907,31364,151347,18394,33318,166271,184665,Virginia
9/30/14,142880,30813,139913,-5966,27814,173693,167727,Virginia
12/31/14,133331,29878,148317,7530,22422,163209,170739,Virginia
3/31/15,138735,30067,135374,12777,46205,168802,181579,Virginia
6/30/15,132503,30014,158727,32760,36550,162517,195277,Virginia
9/30/15,146861,31323,150517,35294,62961,178184,213478,Virginia
12/31/15,140896,31427,158541,23477,37259,172323,195800,Virginia
3/31/16,147502,37456,148298,-1781,34879,184958,183177,Virginia
6/30/16,150198,38057,155822,9391,41824,188255,197646,Virginia
9/30/16,148269,41276,158207,2527,33865,189545,192072,Virginia
12/31/16,144525,35924,155756,13876,38569,180449,194325,Virginia
3/31/17,138974,33753,151347,14269,35649,172727,186996,Virginia
6/30/17,148643,35232,157026,12153,39002,183875,196028,Virginia
9/30/17,154402,39203,147369,-11164,35072,193605,182441,Virginia
12/31/17,136681,34159,156883,25350,39307,170840,196190,Virginia
9/30/92,145689,35922,143858,1924,39677,181611,183535,Washington
12/31/92,137259,34693,131071,-7381,33500,171952,164571,Washington
3/31/93,133694,35563,139278,9517,39496,169257,178774,Washington
6/30/93,135182,29698,146310,16982,35552,164880,181862,Washington
9/30/93,142109,29925,142756,5630,34908,172034,177664,Washington
12/31/93,132345,33106,146130,17491,36812,165451,182942,Washington
3/31/94,138534,33757,138874,2098,35515,172291,174389,Washington
6/30/94,135108,29245,151378,28158,41133,164353,192511,Washington
9/30/94,142456,36275,155656,17019,40094,178731,195750,Washington
12/31/94,146197,39414,149126,357,36842,185611,185968,Washington
3/31/95,144007,37510,153862,15498,43153,181517,197015,Washington
6/30/95,160795,37789,146053,-4156,48375,198584,194428,Washington
9/30/95,150689,32373,149614,14264,47712,183062,197326,Washington
12/31/95,142453,41822,150511,2454,36218,184275,186729,Washington
3/31/96,143881,36437,148080,4548,36786,180318,184866,Washington
6/30/96,146167,35534,144613,9730,46818,181701,191431,Washington
9/30/96,131889,35211,158451,33501,42150,167100,200601,Washington
12/31/96,135414,38994,170205,39328,43531,174408,213736,Washington
3/31/97,143082,43710,175829,29415,40378,186792,216207,Washington
6/30/97,151315,37723,157155,21689,53572,189038,210727,Washington
9/30/97,148348,40091,153968,8242,42713,188439,196681,Washington
12/31/97,134345,37679,168478,43535,47081,172024,215559,Washington
3/31/98,149403,46707,155731,6132,46511,196110,202242,Washington
6/30/98,143064,40828,158998,21493,46387,183892,205385,Washington
9/30/98,152879,42934,162375,8117,41555,195813,203930,Washington
12/31/98,150005,46214,175031,24383,45571,196219,220602,Washington
3/31/99,164002,55077,175803,5875,49151,219079,224954,Washington
6/30/99,171581,52187,156125,-20873,46770,223768,202895,Washington
9/30/99,155813,48729,175429,25029,54142,204542,229571,Washington
12/31/99,150015,46371,178542,34122,51966,196386,230508,Washington
3/31/00,156981,50601,172739,17472,52315,207582,225054,Washington
6/30/00,164643,47077,162236,5954,55438,211720,217674,Washington
9/30/00,156626,60231,169855,467,47469,216857,217324,Washington
12/31/00,147593,52430,166043,12300,46280,200023,212323,Washington
3/31/01,168652,59551,159908,-19762,48533,228203,208441,Washington
6/30/01,178061,47651,143131,-34443,48138,225712,191269,Washington
9/30/01,162551,48886,142515,-25275,43647,211437,186162,Washington
12/31/01,164576,46995,135524,-30521,45526,211571,181050,Washington
3/31/02,158307,47933,145283,-17559,43398,206240,188681,Washington
6/30/02,156031,37401,142840,-4833,45759,193432,188599,Washington
9/30/02,141598,37780,149616,11434,41196,179378,190812,Washington
12/31/02,140315,42323,140548,-5147,36943,182638,177491,Washington
3/31/03,150984,37720,142130,2475,49049,188704,191179,Washington
6/30/03,144843,35799,137443,-1211,41988,180642,179431,Washington
9/30/03,134440,36523,147240,12542,36265,170963,183505,Washington
12/31/03,134750,38249,147088,7570,33481,172999,180569,Washington
3/31/04,136149,37947,151744,12216,34568,174096,186312,Washington
6/30/04,136284,36808,157448,17321,32965,173092,190413,Washington
9/30/04,142909,32461,142909,-925,31536,175370,174445,Washington
12/31/04,130542,29620,153509,25079,31732,160162,185241,Washington
3/31/05,135151,35320,154122,14791,31140,170471,185262,Washington
6/30/05,134409,30824,153126,20306,32413,165233,185539,Washington
9/30/05,156002,32424,155970,-33,32423,188426,188393,Washington
12/31/05,134276,30437,175936,43902,32679,164713,208615,Washington
3/31/06,135480,29328,153013,18387,30182,164808,183195,Washington
6/30/06,138358,29580,160370,24848,32416,167938,192786,Washington
9/30/06,143724,32888,149854,4863,31621,176612,181475,Washington
12/31/06,140920,30137,150920,11311,31448,171057,182368,Washington
3/31/07,130367,30308,166760,39056,32971,160675,199731,Washington
6/30/07,142449,30836,158097,14155,29343,173285,187440,Washington
9/30/07,149578,31869,144125,-8298,29024,181447,173149,Washington
12/31/07,139557,29503,150962,15329,33427,169060,184389,Washington
3/31/08,143398,30190,157717,20679,36550,173588,194267,Washington
6/30/08,159818,38407,142254,-29619,26352,198225,168606,Washington
9/30/08,144856,29219,147094,3325,30306,174075,177400,Washington
12/31/08,175551,41009,133855,-54675,28030,216560,161885,Washington
3/31/09,176324,32886,127502,-46654,35054,209210,162556,Washington
6/30/09,159930,29171,130994,-27897,30210,189101,161204,Washington
9/30/09,146782,29456,135486,-12473,28279,176238,163765,Washington
12/31/09,147095,29481,123869,-23406,29301,176576,153170,Washington
3/31/10,132545,28396,134731,1228,27438,160941,162169,Washington
6/30/10,125210,25358,135700,9905,24773,150568,160473,Washington
9/30/10,123892,28289,138931,14131,27381,152181,166312,Washington
12/31/10,131303,28747,139453,9230,29827,160050,169280,Washington
3/31/11,125230,25785,132768,7470,25717,151015,158485,Washington
6/30/11,123321,30105,132330,5437,26533,153426,158863,Washington
9/30/11,113594,24306,148989,39568,28479,137900,177468,Washington
12/31/11,133987,32783,139589,151,27332,166770,166921,Washington
3/31/12,130656,22084,136632,10007,26115,152740,162747,Washington
6/30/12,120920,32435,148565,20868,25658,153355,174223,Washington
9/30/12,128522,27376,142109,11145,24934,155898,167043,Washington
12/31/12,130539,26975,141864,13037,28687,157514,170551,Washington
3/31/13,127262,28768,142768,13434,26696,156030,169464,Washington
6/30/13,123132,26498,149733,26994,26891,149630,176624,Washington
9/30/13,130090,28677,143121,13792,29438,158767,172559,Washington
12/31/13,133473,23215,142568,15786,29906,156688,172474,Washington
3/31/14,131154,20510,140630,18582,29616,151664,170246,Washington
6/30/14,123483,38863,158902,22327,25771,162346,184673,Washington
9/30/14,135885,20818,147928,22874,31649,156703,179577,Washington
12/31/14,137227,19289,152558,19522,23480,156516,176038,Washington
3/31/15,131301,33983,155794,10260,19750,165284,175544,Washington
6/30/15,133899,23397,164694,31498,24100,157296,188794,Washington
9/30/15,151588,24184,151205,-1372,23195,175772,174400,Washington
12/31/15,139842,20268,152692,17282,24700,160110,177392,Washington
3/31/16,133199,26699,161096,27958,26760,159898,187856,Washington
6/30/16,139978,18646,166719,33780,25685,158624,192404,Washington
9/30/16,151042,24803,154848,1836,22833,175845,177681,Washington
12/31/16,145123,34136,161109,12523,30673,179259,191782,Washington
3/31/17,133415,19568,166175,32536,19344,152983,185519,Washington
6/30/17,147589,19796,164007,25701,29079,167385,193086,Washington
9/30/17,152707,18148,148975,1624,23504,170855,172479,Washington
12/31/17,146999,13100,161603,28188,26684,160099,188287,Washington
9/30/92,145689,35922,143858,1924,39677,181611,183535,Washington
12/31/92,137259,34693,131071,-7381,33500,171952,164571,Washington
3/31/93,133694,35563,139278,9517,39496,169257,178774,Washington
6/30/93,135182,29698,146310,16982,35552,164880,181862,Washington
9/30/93,142109,29925,142756,5630,34908,172034,177664,Washington
12/31/93,132345,33106,146130,17491,36812,165451,182942,Washington
3/31/94,138534,33757,138874,2098,35515,172291,174389,Washington
6/30/94,135108,29245,151378,28158,41133,164353,192511,Washington
9/30/94,142456,36275,155656,17019,40094,178731,195750,Washington
12/31/94,146197,39414,149126,357,36842,185611,185968,Washington
3/31/95,144007,37510,153862,15498,43153,181517,197015,Washington
6/30/95,160795,37789,146053,-4156,48375,198584,194428,Washington
9/30/95,150689,32373,149614,14264,47712,183062,197326,Washington
12/31/95,142453,41822,150511,2454,36218,184275,186729,Washington
3/31/96,143881,36437,148080,4548,36786,180318,184866,Washington
6/30/96,146167,35534,144613,9730,46818,181701,191431,Washington
9/30/96,131889,35211,158451,33501,42150,167100,200601,Washington
12/31/96,135414,38994,170205,39328,43531,174408,213736,Washington
3/31/97,143082,43710,175829,29415,40378,186792,216207,Washington
6/30/97,151315,37723,157155,21689,53572,189038,210727,Washington
9/30/97,148348,40091,153968,8242,42713,188439,196681,Washington
12/31/97,134345,37679,168478,43535,47081,172024,215559,Washington
3/31/98,149403,46707,155731,6132,46511,196110,202242,Washington
6/30/98,143064,40828,158998,21493,46387,183892,205385,Washington
9/30/98,152879,42934,162375,8117,41555,195813,203930,Washington
12/31/98,150005,46214,175031,24383,45571,196219,220602,Washington
3/31/99,164002,55077,175803,5875,49151,219079,224954,Washington
6/30/99,171581,52187,156125,-20873,46770,223768,202895,Washington
9/30/99,155813,48729,175429,25029,54142,204542,229571,Washington
12/31/99,150015,46371,178542,34122,51966,196386,230508,Washington
3/31/00,156981,50601,172739,17472,52315,207582,225054,Washington
6/30/00,164643,47077,162236,5954,55438,211720,217674,Washington
9/30/00,156626,60231,169855,467,47469,216857,217324,Washington
12/31/00,147593,52430,166043,12300,46280,200023,212323,Washington
3/31/01,168652,59551,159908,-19762,48533,228203,208441,Washington
6/30/01,178061,47651,143131,-34443,48138,225712,191269,Washington
9/30/01,162551,48886,142515,-25275,43647,211437,186162,Washington
12/31/01,164576,46995,135524,-30521,45526,211571,181050,Washington
3/31/02,158307,47933,145283,-17559,43398,206240,188681,Washington
6/30/02,156031,37401,142840,-4833,45759,193432,188599,Washington
9/30/02,141598,37780,149616,11434,41196,179378,190812,Washington
12/31/02,140315,42323,140548,-5147,36943,182638,177491,Washington
3/31/03,150984,37720,142130,2475,49049,188704,191179,Washington
6/30/03,144843,35799,137443,-1211,41988,180642,179431,Washington
9/30/03,134440,36523,147240,12542,36265,170963,183505,Washington
12/31/03,134750,38249,147088,7570,33481,172999,180569,Washington
3/31/04,136149,37947,151744,12216,34568,174096,186312,Washington
6/30/04,136284,36808,157448,17321,32965,173092,190413,Washington
9/30/04,142909,32461,142909,-925,31536,175370,174445,Washington
12/31/04,130542,29620,153509,25079,31732,160162,185241,Washington
3/31/05,135151,35320,154122,14791,31140,170471,185262,Washington
6/30/05,134409,30824,153126,20306,32413,165233,185539,Washington
9/30/05,156002,32424,155970,-33,32423,188426,188393,Washington
12/31/05,134276,30437,175936,43902,32679,164713,208615,Washington
3/31/06,135480,29328,153013,18387,30182,164808,183195,Washington
6/30/06,138358,29580,160370,24848,32416,167938,192786,Washington
9/30/06,143724,32888,149854,4863,31621,176612,181475,Washington
12/31/06,140920,30137,150920,11311,31448,171057,182368,Washington
3/31/07,130367,30308,166760,39056,32971,160675,199731,Washington
6/30/07,142449,30836,158097,14155,29343,173285,187440,Washington
9/30/07,149578,31869,144125,-8298,29024,181447,173149,Washington
12/31/07,139557,29503,150962,15329,33427,169060,184389,Washington
3/31/08,143398,30190,157717,20679,36550,173588,194267,Washington
6/30/08,159818,38407,142254,-29619,26352,198225,168606,Washington
9/30/08,144856,29219,147094,3325,30306,174075,177400,Washington
12/31/08,175551,41009,133855,-54675,28030,216560,161885,Washington
3/31/09,176324,32886,127502,-46654,35054,209210,162556,Washington
6/30/09,159930,29171,130994,-27897,30210,189101,161204,Washington
9/30/09,146782,29456,135486,-12473,28279,176238,163765,Washington
12/31/09,147095,29481,123869,-23406,29301,176576,153170,Washington
3/31/10,132545,28396,134731,1228,27438,160941,162169,Washington
6/30/10,125210,25358,135700,9905,24773,150568,160473,Washington
9/30/10,123892,28289,138931,14131,27381,152181,166312,Washington
12/31/10,131303,28747,139453,9230,29827,160050,169280,Washington
3/31/11,125230,25785,132768,7470,25717,151015,158485,Washington
6/30/11,123321,30105,132330,5437,26533,153426,158863,Washington
9/30/11,113594,24306,148989,39568,28479,137900,177468,Washington
12/31/11,133987,32783,139589,151,27332,166770,166921,Washington
3/31/12,130656,22084,136632,10007,26115,152740,162747,Washington
6/30/12,120920,32435,148565,20868,25658,153355,174223,Washington
9/30/12,128522,27376,142109,11145,24934,155898,167043,Washington
12/31/12,130539,26975,141864,13037,28687,157514,170551,Washington
3/31/13,127262,28768,142768,13434,26696,156030,169464,Washington
6/30/13,123132,26498,149733,26994,26891,149630,176624,Washington
9/30/13,130090,28677,143121,13792,29438,158767,172559,Washington
12/31/13,133473,23215,142568,15786,29906,156688,172474,Washington
3/31/14,131154,20510,140630,18582,29616,151664,170246,Washington
6/30/14,123483,38863,158902,22327,25771,162346,184673,Washington
9/30/14,135885,20818,147928,22874,31649,156703,179577,Washington
12/31/14,137227,19289,152558,19522,23480,156516,176038,Washington
3/31/15,131301,33983,155794,10260,19750,165284,175544,Washington
6/30/15,133899,23397,164694,31498,24100,157296,188794,Washington
9/30/15,151588,24184,151205,-1372,23195,175772,174400,Washington
12/31/15,139842,20268,152692,17282,24700,160110,177392,Washington
3/31/16,133199,26699,161096,27958,26760,159898,187856,Washington
6/30/16,139978,18646,166719,33780,25685,158624,192404,Washington
9/30/16,151042,24803,154848,1836,22833,175845,177681,Washington
12/31/16,145123,34136,161109,12523,30673,179259,191782,Washington
3/31/17,133415,19568,166175,32536,19344,152983,185519,Washington
6/30/17,147589,19796,164007,25701,29079,167385,193086,Washington
9/30/17,152707,18148,148975,1624,23504,170855,172479,Washington
12/31/17,146999,13100,161603,28188,26684,160099,188287,Washington
9/30/92,27011,7607,30070,4591,9139,34618,39209,West Virginia
12/31/92,28774,6300,26911,845,9008,35074,35919,West Virginia
3/31/93,28689,7672,28372,1693,9682,36361,38054,West Virginia
6/30/93,31289,7672,33696,2782,8047,38961,41743,West Virginia
9/30/93,30478,6558,33431,5654,9259,37036,42690,West Virginia
12/31/93,30558,6571,35977,6568,7720,37129,43697,West Virginia
3/31/94,29564,8018,30483,877,7976,37582,38459,West Virginia
6/30/94,28178,5838,33192,7818,8642,34016,41834,West Virginia
9/30/94,28572,8135,33882,6672,9497,36707,43379,West Virginia
12/31/94,31729,7147,30168,-1842,6866,38876,37034,West Virginia
3/31/95,32897,7583,31677,366,9169,40480,40846,West Virginia
6/30/95,30401,6556,31565,4938,10330,36957,41895,West Virginia
9/30/95,30192,6925,33942,5098,8273,37117,42215,West Virginia
12/31/95,33303,7950,30416,-2212,8625,41253,39041,West Virginia
3/31/96,32516,9034,32650,-1453,7447,41550,40097,West Virginia
6/30/96,31046,6588,33933,6351,10052,37634,43985,West Virginia
9/30/96,31024,7385,32622,3799,9586,38409,42208,West Virginia
12/31/96,35761,7798,31207,-2621,9731,43559,40938,West Virginia
