date,contract_establish,end_establish,expand_establish,net_change,open_establish,total_contract,total_expand,state
9/30/03,57397,9753,62449,8379,13080,67150,75529,Iowa
12/31/03,60520,12134,63943,4531,13242,72654,77185,Iowa
3/31/04,60533,11611,62468,3263,12939,72144,75407,Iowa
6/30/04,59153,11990,63691,5019,12471,71143,76162,Iowa
9/30/04,59821,11936,62521,4675,13911,71757,76432,Iowa
12/31/04,59803,10493,65316,9825,14805,70296,80121,Iowa
3/31/05,59537,11305,64545,7180,13477,70842,78022,Iowa
6/30/05,64184,12774,63912,-232,12814,76958,76726,Iowa
9/30/05,58705,11094,65906,9022,12915,69799,78821,Iowa
12/31/05,62246,11148,64091,4593,13896,73394,77987,Iowa
3/31/06,58068,13370,68453,11277,14262,71438,82715,Iowa
6/30/06,65575,11202,64477,2143,14443,76777,78920,Iowa
9/30/06,64309,9718,63315,1706,12418,74027,75733,Iowa
12/31/06,61948,11033,66264,6352,13069,72981,79333,Iowa
3/31/07,64220,11814,63430,114,12718,76034,76148,Iowa
6/30/07,62400,12248,66822,5290,13116,74648,79938,Iowa
9/30/07,65832,9688,61938,-924,12658,75520,74596,Iowa
12/31/07,61870,10265,65511,6099,12723,72135,78234,Iowa
3/31/08,62037,14120,64862,438,11733,76157,76595,Iowa
6/30/08,66167,13840,63402,-4694,11911,80007,75313,Iowa
9/30/08,64713,10983,62001,-974,12721,75696,74722,Iowa
12/31/08,72128,12899,60383,-12808,11836,85027,72219,Iowa
3/31/09,76517,12543,52526,-24585,11949,89060,64475,Iowa
6/30/09,72992,10866,56075,-15923,11860,83858,67935,Iowa
9/30/09,61697,9515,55981,-5661,9570,71212,65551,Iowa
12/31/09,62484,10751,56358,-4403,12474,73235,68832,Iowa
3/31/10,56697,10439,55553,-1934,9649,67136,65202,Iowa
6/30/10,58721,8710,60248,1948,9131,67431,69379,Iowa
9/30/10,58051,10341,59006,819,10205,68392,69211,Iowa
12/31/10,56233,11494,61596,8437,14568,67727,76164,Iowa
3/31/11,57182,10339,55618,-722,11181,67521,66799,Iowa
6/30/11,55999,11281,59816,5142,12606,67280,72422,Iowa
9/30/11,54249,10891,61087,9958,14011,65140,75098,Iowa
12/31/11,57334,11362,56893,2141,13944,68696,70837,Iowa
3/31/12,54055,9539,60912,12436,15118,63594,76030,Iowa
6/30/12,54466,10051,60363,6645,10799,64517,71162,Iowa
9/30/12,57622,10559,58803,2869,12247,68181,71050,Iowa
12/31/12,57345,10674,58827,3534,12726,68019,71553,Iowa
3/31/13,57674,9811,58957,4952,13480,67485,72437,Iowa
6/30/13,57108,9975,62324,8166,12925,67083,75249,Iowa
9/30/13,58654,9725,60694,6665,14350,68379,75044,Iowa
12/31/13,58430,11455,62660,5982,13207,69885,75867,Iowa
3/31/14,58852,11912,61733,2475,11506,70764,73239,Iowa
6/30/14,59410,12759,65521,6491,13139,72169,78660,Iowa
9/30/14,62566,11040,62069,272,11809,73606,73878,Iowa
12/31/14,60513,11768,65741,6029,12569,72281,78310,Iowa
3/31/15,60220,10549,64686,6789,12872,70769,77558,Iowa
6/30/15,66780,10568,65290,380,12438,77348,77728,Iowa
9/30/15,65922,11672,60539,-3774,13281,77594,73820,Iowa
12/31/15,61358,11741,64499,4745,13345,73099,77844,Iowa
3/31/16,59738,10685,66282,8789,12930,70423,79212,Iowa
6/30/16,68988,12154,61809,-7006,12327,81142,74136,Iowa
9/30/16,63451,11591,65702,3991,13331,75042,79033,Iowa
12/31/16,66440,10553,60823,-3038,13132,76993,73955,Iowa
3/31/17,60567,10757,66164,7440,12600,71324,78764,Iowa
6/30/17,63780,10179,61704,-511,11744,73959,73448,Iowa
9/30/17,63509,9907,57852,-3254,12310,73416,70162,Iowa
12/31/17,58496,10227,64479,7560,11804,68723,76283,Iowa
9/30/92,51273,18023,59826,5273,14743,69296,74569,Kansas
12/31/92,54723,11547,52127,683,14826,66270,66953,Kansas
3/31/93,52727,11935,51121,2290,15831,64662,66952,Kansas
6/30/93,50142,11385,57148,7834,12213,61527,69361,Kansas
9/30/93,52523,10274,54851,6756,14702,62797,69553,Kansas
12/31/93,53411,13119,52805,1,13726,66530,66531,Kansas
3/31/94,50504,12213,57401,12030,17346,62717,74747,Kansas
6/30/94,49086,11346,56079,9514,13867,60432,69946,Kansas
9/30/94,53372,9271,59946,10557,13254,62643,73200,Kansas
12/31/94,53747,14268,58173,1202,11044,68015,69217,Kansas
3/31/95,50970,13381,64305,15104,15150,64351,79455,Kansas
6/30/95,55346,12210,57483,2313,12386,67556,69869,Kansas
9/30/95,52420,12086,59830,9744,14420,64506,74250,Kansas
12/31/95,56256,13918,60647,3733,13260,70174,73907,Kansas
3/31/96,54880,15926,61923,11406,20289,70806,82212,Kansas
6/30/96,54889,14699,61378,7273,15483,69588,76861,Kansas
9/30/96,55516,14221,61677,6672,14732,69737,76409,Kansas
12/31/96,57085,11666,62012,8033,14772,68751,76784,Kansas
3/31/97,57944,17127,68611,12128,18588,75071,87199,Kansas
6/30/97,55591,13609,67563,16263,17900,69200,85463,Kansas
9/30/97,58992,16534,70263,14740,20003,75526,90266,Kansas
12/31/97,61490,18565,68146,2675,14584,80055,82730,Kansas
3/31/98,61737,14623,65925,12789,23224,76360,89149,Kansas
6/30/98,60948,20618,71057,6948,17457,81566,88514,Kansas
9/30/98,64723,19749,66432,4933,22973,84472,89405,Kansas
12/31/98,62696,16291,66572,9918,22333,78987,88905,Kansas
3/31/99,67754,20405,66526,-2963,18670,88159,85196,Kansas
6/30/99,65104,23035,67255,2842,23726,88139,90981,Kansas
9/30/99,63477,18149,66760,2951,17817,81626,84577,Kansas
12/31/99,67036,15758,66611,6118,22301,82794,88912,Kansas
3/31/00,64907,20527,69611,3705,19528,85434,89139,Kansas
6/30/00,67003,14152,62993,3604,21766,81155,84759,Kansas
9/30/00,62362,19743,64129,1068,19044,82105,83173,Kansas
12/31/00,64823,14843,62550,-5451,11665,79666,74215,Kansas
3/31/01,66267,13211,67926,8489,20041,79478,87967,Kansas
6/30/01,65473,15527,63264,-3383,14353,81000,77617,Kansas
9/30/01,63413,17883,58092,-9753,13451,81296,71543,Kansas
12/31/01,63950,12630,57022,-7175,12383,76580,69405,Kansas
3/31/02,65459,15967,59482,-4974,16970,81426,76452,Kansas
6/30/02,60660,18170,61294,539,18075,78830,79369,Kansas
9/30/02,63052,19327,58228,-5579,18572,82379,76800,Kansas
12/31/02,63491,17795,56469,-8511,16306,81286,72775,Kansas
3/31/03,64691,14364,51842,-9300,17913,79055,69755,Kansas
6/30/03,61735,12924,54181,-5043,15435,74659,69616,Kansas
9/30/03,57484,11321,59840,4154,13119,68805,72959,Kansas
12/31/03,58370,12671,58386,1542,14197,71041,72583,Kansas
3/31/04,57450,11291,58185,2873,13429,68741,71614,Kansas
6/30/04,56375,11366,59235,3733,12239,67741,71474,Kansas
9/30/04,55703,14064,61986,6635,14416,69767,76402,Kansas
12/31/04,56426,13991,58950,2504,13971,70417,72921,Kansas
3/31/05,58119,14644,55592,-2865,14306,72763,69898,Kansas
6/30/05,55551,11909,57291,5704,15873,67460,73164,Kansas
9/30/05,58953,13275,61446,743,11525,72228,72971,Kansas
12/31/05,52794,13478,56036,3685,13921,66272,69957,Kansas
3/31/06,50322,13041,61056,8878,11185,63363,72241,Kansas
6/30/06,54255,16949,56257,271,15218,71204,71475,Kansas
9/30/06,53261,12585,62193,14094,17747,65846,79940,Kansas
12/31/06,55004,13743,61490,5769,13026,68747,74516,Kansas
3/31/07,54891,12658,64996,10448,13001,67549,77997,Kansas
6/30/07,59394,15182,56270,-4104,14202,74576,70472,Kansas
9/30/07,53248,13109,61050,8708,14015,66357,75065,Kansas
12/31/07,58023,16957,56784,-3274,14922,74980,71706,Kansas
3/31/08,60583,15914,69850,10038,16685,76497,86535,Kansas
6/30/08,60823,15354,56593,-4166,15418,76177,72011,Kansas
9/30/08,64319,11309,54740,-7938,12950,75628,67690,Kansas
12/31/08,65695,13612,59231,-5540,14536,79307,73767,Kansas
3/31/09,67452,11608,44097,-23515,11448,79060,55545,Kansas
6/30/09,68397,11208,45753,-21987,11865,79605,57618,Kansas
9/30/09,58873,8141,46602,-9052,11360,67014,57962,Kansas
12/31/09,55551,12210,51651,-5732,10378,67761,62029,Kansas
3/31/10,51251,11133,46251,-5538,10595,62384,56846,Kansas
6/30/10,47887,11334,50314,2747,11654,59221,61968,Kansas
9/30/10,48893,14316,50565,-1203,11441,63209,62006,Kansas
12/31/10,47331,12532,53250,10587,17200,59863,70450,Kansas
3/31/11,50370,10951,49607,-533,11181,61321,60788,Kansas
6/30/11,50476,11297,50790,1319,12302,61773,63092,Kansas
9/30/11,50204,10453,53883,6122,12896,60657,66779,Kansas
12/31/11,51547,10272,51294,2216,12741,61819,64035,Kansas
3/31/12,45832,10475,59341,14735,11701,56307,71042,Kansas
6/30/12,50200,10535,52426,3493,11802,60735,64228,Kansas
9/30/12,52098,12604,50188,-3748,10766,64702,60954,Kansas
12/31/12,48215,10939,52868,8597,14883,59154,67751,Kansas
3/31/13,50692,9765,50752,1468,11173,60457,61925,Kansas
6/30/13,49367,10674,55626,7734,12149,60041,67775,Kansas
9/30/13,51814,11178,53726,6575,15841,62992,69567,Kansas
12/31/13,48862,10434,56024,9372,12644,59296,68668,Kansas
3/31/14,50560,11082,53848,2459,10253,61642,64101,Kansas
6/30/14,51957,10402,56370,5594,11583,62359,67953,Kansas
9/30/14,54055,9760,51783,-445,11587,63815,63370,Kansas
12/31/14,48885,10809,57364,10548,12878,59694,70242,Kansas
3/31/15,54647,10400,52597,-1419,11031,65047,63628,Kansas
6/30/15,53323,11744,55709,1603,10961,65067,66670,Kansas
9/30/15,53993,10756,52619,-395,11735,64749,64354,Kansas
12/31/15,51406,11362,56658,8103,14213,62768,70871,Kansas
3/31/16,55702,11436,51985,-1268,13885,67138,65870,Kansas
6/30/16,55785,14083,53070,-6053,10745,69868,63815,Kansas
9/30/16,53053,10523,56298,6329,13607,63576,69905,Kansas
12/31/16,53294,11507,54459,2612,12954,64801,67413,Kansas
3/31/17,51761,11280,54965,3254,11330,63041,66295,Kansas
6/30/17,55743,18692,51728,-12503,10204,74435,61932,Kansas
9/30/17,52784,11398,52431,6507,18258,64182,70689,Kansas
12/31/17,48115,11233,55111,9051,13288,59348,68399,Kansas
9/30/92,51273,18023,59826,5273,14743,69296,74569,Kansas
12/31/92,54723,11547,52127,683,14826,66270,66953,Kansas
3/31/93,52727,11935,51121,2290,15831,64662,66952,Kansas
6/30/93,50142,11385,57148,7834,12213,61527,69361,Kansas
9/30/93,52523,10274,54851,6756,14702,62797,69553,Kansas
12/31/93,53411,13119,52805,1,13726,66530,66531,Kansas
3/31/94,50504,12213,57401,12030,17346,62717,74747,Kansas
6/30/94,49086,11346,56079,9514,13867,60432,69946,Kansas
9/30/94,53372,9271,59946,10557,13254,62643,73200,Kansas
12/31/94,53747,14268,58173,1202,11044,68015,69217,Kansas
3/31/95,50970,13381,64305,15104,15150,64351,79455,Kansas
6/30/95,55346,12210,57483,2313,12386,67556,69869,Kansas
9/30/95,52420,12086,59830,9744,14420,64506,74250,Kansas
12/31/95,56256,13918,60647,3733,13260,70174,73907,Kansas
3/31/96,54880,15926,61923,11406,20289,70806,82212,Kansas
6/30/96,54889,14699,61378,7273,15483,69588,76861,Kansas
9/30/96,55516,14221,61677,6672,14732,69737,76409,Kansas
12/31/96,57085,11666,62012,8033,14772,68751,76784,Kansas
3/31/97,57944,17127,68611,12128,18588,75071,87199,Kansas
6/30/97,55591,13609,67563,16263,17900,69200,85463,Kansas
9/30/97,58992,16534,70263,14740,20003,75526,90266,Kansas
12/31/97,61490,18565,68146,2675,14584,80055,82730,Kansas
3/31/98,61737,14623,65925,12789,23224,76360,89149,Kansas
6/30/98,60948,20618,71057,6948,17457,81566,88514,Kansas
9/30/98,64723,19749,66432,4933,22973,84472,89405,Kansas
12/31/98,62696,16291,66572,9918,22333,78987,88905,Kansas
3/31/99,67754,20405,66526,-2963,18670,88159,85196,Kansas
6/30/99,65104,23035,67255,2842,23726,88139,90981,Kansas
9/30/99,63477,18149,66760,2951,17817,81626,84577,Kansas
12/31/99,67036,15758,66611,6118,22301,82794,88912,Kansas
3/31/00,64907,20527,69611,3705,19528,85434,89139,Kansas
6/30/00,67003,14152,62993,3604,21766,81155,84759,Kansas
9/30/00,62362,19743,64129,1068,19044,82105,83173,Kansas
12/31/00,64823,14843,62550,-5451,11665,79666,74215,Kansas
3/31/01,66267,13211,67926,8489,20041,79478,87967,Kansas
6/30/01,65473,15527,63264,-3383,14353,81000,77617,Kansas
9/30/01,63413,17883,58092,-9753,13451,81296,71543,Kansas
12/31/01,63950,12630,57022,-7175,12383,76580,69405,Kansas
3/31/02,65459,15967,59482,-4974,16970,81426,76452,Kansas
6/30/02,60660,18170,61294,539,18075,78830,79369,Kansas
9/30/02,63052,19327,58228,-5579,18572,82379,76800,Kansas
12/31/02,63491,17795,56469,-8511,16306,81286,72775,Kansas
3/31/03,64691,14364,51842,-9300,17913,79055,69755,Kansas
6/30/03,61735,12924,54181,-5043,15435,74659,69616,Kansas
9/30/03,57484,11321,59840,4154,13119,68805,72959,Kansas
12/31/03,58370,12671,58386,1542,14197,71041,72583,Kansas
3/31/04,57450,11291,58185,2873,13429,68741,71614,Kansas
6/30/04,56375,11366,59235,3733,12239,67741,71474,Kansas
9/30/04,55703,14064,61986,6635,14416,69767,76402,Kansas
12/31/04,56426,13991,58950,2504,13971,70417,72921,Kansas
3/31/05,58119,14644,55592,-2865,14306,72763,69898,Kansas
6/30/05,55551,11909,57291,5704,15873,67460,73164,Kansas
9/30/05,58953,13275,61446,743,11525,72228,72971,Kansas
12/31/05,52794,13478,56036,3685,13921,66272,69957,Kansas
3/31/06,50322,13041,61056,8878,11185,63363,72241,Kansas
6/30/06,54255,16949,56257,271,15218,71204,71475,Kansas
9/30/06,53261,12585,62193,14094,17747,65846,79940,Kansas
12/31/06,55004,13743,61490,5769,13026,68747,74516,Kansas
3/31/07,54891,12658,64996,10448,13001,67549,77997,Kansas
6/30/07,59394,15182,56270,-4104,14202,74576,70472,Kansas
9/30/07,53248,13109,61050,8708,14015,66357,75065,Kansas
12/31/07,58023,16957,56784,-3274,14922,74980,71706,Kansas
3/31/08,60583,15914,69850,10038,16685,76497,86535,Kansas
6/30/08,60823,15354,56593,-4166,15418,76177,72011,Kansas
9/30/08,64319,11309,54740,-7938,12950,75628,67690,Kansas
12/31/08,65695,13612,59231,-5540,14536,79307,73767,Kansas
3/31/09,67452,11608,44097,-23515,11448,79060,55545,Kansas
6/30/09,68397,11208,45753,-21987,11865,79605,57618,Kansas
9/30/09,58873,8141,46602,-9052,11360,67014,57962,Kansas
12/31/09,55551,12210,51651,-5732,10378,67761,62029,Kansas
3/31/10,51251,11133,46251,-5538,10595,62384,56846,Kansas
6/30/10,47887,11334,50314,2747,11654,59221,61968,Kansas
9/30/10,48893,14316,50565,-1203,11441,63209,62006,Kansas
12/31/10,47331,12532,53250,10587,17200,59863,70450,Kansas
3/31/11,50370,10951,49607,-533,11181,61321,60788,Kansas
6/30/11,50476,11297,50790,1319,12302,61773,63092,Kansas
9/30/11,50204,10453,53883,6122,12896,60657,66779,Kansas
12/31/11,51547,10272,51294,2216,12741,61819,64035,Kansas
3/31/12,45832,10475,59341,14735,11701,56307,71042,Kansas
6/30/12,50200,10535,52426,3493,11802,60735,64228,Kansas
9/30/12,52098,12604,50188,-3748,10766,64702,60954,Kansas
12/31/12,48215,10939,52868,8597,14883,59154,67751,Kansas
3/31/13,50692,9765,50752,1468,11173,60457,61925,Kansas
6/30/13,49367,10674,55626,7734,12149,60041,67775,Kansas
9/30/13,51814,11178,53726,6575,15841,62992,69567,Kansas
12/31/13,48862,10434,56024,9372,12644,59296,68668,Kansas
3/31/14,50560,11082,53848,2459,10253,61642,64101,Kansas
6/30/14,51957,10402,56370,5594,11583,62359,67953,Kansas
9/30/14,54055,9760,51783,-445,11587,63815,63370,Kansas
12/31/14,48885,10809,57364,10548,12878,59694,70242,Kansas
3/31/15,54647,10400,52597,-1419,11031,65047,63628,Kansas
6/30/15,53323,11744,55709,1603,10961,65067,66670,Kansas
9/30/15,53993,10756,52619,-395,11735,64749,64354,Kansas
12/31/15,51406,11362,56658,8103,14213,62768,70871,Kansas
3/31/16,55702,11436,51985,-1268,13885,67138,65870,Kansas
6/30/16,55785,14083,53070,-6053,10745,69868,63815,Kansas
9/30/16,53053,10523,56298,6329,13607,63576,69905,Kansas
12/31/16,53294,11507,54459,2612,12954,64801,67413,Kansas
3/31/17,51761,11280,54965,3254,11330,63041,66295,Kansas
6/30/17,55743,18692,51728,-12503,10204,74435,61932,Kansas
9/30/17,52784,11398,52431,6507,18258,64182,70689,Kansas
12/31/17,48115,11233,55111,9051,13288,59348,68399,Kansas
9/30/92,66696,10681,70926,7407,13858,77377,84784,Kentucky
12/31/92,68558,12382,69558,4889,16271,80940,85829,Kentucky
3/31/93,69176,14084,72078,6230,17412,83260,89490,Kentucky
6/30/93,65316,12463,78812,18674,17641,77779,96453,Kentucky
9/30/93,68758,11489,78728,14680,16199,80247,94927,Kentucky
12/31/93,71797,14566,73927,3842,16278,86363,90205,Kentucky
3/31/94,67511,14470,83013,16980,15948,81981,98961,Kentucky
6/30/94,68826,13217,87912,22380,16511,82043,104423,Kentucky
9/30/94,73316,12628,83212,13194,15926,85944,99138,Kentucky
12/31/94,75681,13017,79387,7666,16977,88698,96364,Kentucky
3/31/95,76413,16259,81491,6760,17941,92672,99432,Kentucky
6/30/95,75943,11637,81310,12063,18333,87580,99643,Kentucky
9/30/95,78991,13844,82695,9240,19380,92835,102075,Kentucky
12/31/95,80131,13916,76252,-2549,15246,94047,91498,Kentucky
3/31/96,75023,17880,81662,6213,17454,92903,99116,Kentucky
6/30/96,76280,18546,82781,6510,18555,94826,101336,Kentucky
9/30/96,78097,13802,84376,14832,22355,91899,106731,Kentucky
12/31/96,79555,15659,80252,3376,18338,95214,98590,Kentucky
3/31/97,74439,18976,88267,13215,18363,93415,106630,Kentucky
6/30/97,77117,16571,84419,9826,19095,93688,103514,Kentucky
9/30/97,82234,17477,88303,7012,18420,99711,106723,Kentucky
12/31/97,79763,16899,82831,5176,19007,96662,101838,Kentucky
3/31/98,80309,18844,88345,7824,18632,99153,106977,Kentucky
6/30/98,81242,19129,87785,9879,22465,100371,110250,Kentucky
9/30/98,84673,18409,93292,11029,20819,103082,114111,Kentucky
12/31/98,84735,14384,85871,4953,18201,99119,104072,Kentucky
3/31/99,82712,19659,86829,8639,24181,102371,111010,Kentucky
6/30/99,84916,20434,92470,8051,20931,105350,113401,Kentucky
9/30/99,85454,22023,101170,13972,20279,107477,121449,Kentucky
12/31/99,87189,19005,88350,2373,20217,106194,108567,Kentucky
3/31/00,81144,15258,94147,20578,22833,96402,116980,Kentucky
6/30/00,89617,18393,81085,-13021,13904,108010,94989,Kentucky
9/30/00,87674,21641,95431,7230,21114,109315,116545,Kentucky
12/31/00,89842,16525,87036,-2649,16682,106367,103718,Kentucky
3/31/01,93395,19071,78470,-13394,20602,112466,99072,Kentucky
6/30/01,101761,23561,86206,-20286,18830,125322,105036,Kentucky
9/30/01,90786,21059,79696,-14740,17409,111845,97105,Kentucky
12/31/01,86824,20470,73694,-12181,21419,107294,95113,Kentucky
3/31/02,79289,19941,82648,5675,22257,99230,104905,Kentucky
6/30/02,85046,17930,77216,-5379,20381,102976,97597,Kentucky
9/30/02,80921,17771,79769,-1992,16931,98692,96700,Kentucky
12/31/02,82943,16746,79900,-1297,18492,99689,98392,Kentucky
3/31/03,76627,18317,77754,-669,16521,94944,94275,Kentucky
6/30/03,78294,16984,74359,-3440,17479,95278,91838,Kentucky
9/30/03,71279,15473,78278,7776,16250,86752,94528,Kentucky
12/31/03,74034,17367,80942,4765,15224,91401,96166,Kentucky
3/31/04,76987,16410,76560,1005,17842,93397,94402,Kentucky
6/30/04,72837,14161,74465,6531,19064,86998,93529,Kentucky
9/30/04,70045,18331,77122,6487,17741,88376,94863,Kentucky
12/31/04,72162,16430,76942,9042,20692,88592,97634,Kentucky
3/31/05,76684,16655,83685,7810,17464,93339,101149,Kentucky
6/30/05,75735,15093,78600,5704,17932,90828,96532,Kentucky
9/30/05,74219,16092,77554,6151,18908,90311,96462,Kentucky
12/31/05,76982,18530,74770,-2139,18603,95512,93373,Kentucky
3/31/06,68287,13830,83152,20730,19695,82117,102847,Kentucky
6/30/06,78587,16373,75765,-5876,13319,94960,89084,Kentucky
9/30/06,76845,20368,76777,-3023,17413,97213,94190,Kentucky
12/31/06,75923,15075,80575,13226,23649,90998,104224,Kentucky
3/31/07,80285,14919,88087,10156,17273,95204,105360,Kentucky
6/30/07,79835,14934,81345,2871,16295,94769,97640,Kentucky
9/30/07,79322,17186,72388,-8470,15650,96508,88038,Kentucky
12/31/07,78012,13858,79010,4667,17527,91870,96537,Kentucky
3/31/08,79715,14016,76921,-2385,14425,93731,91346,Kentucky
6/30/08,79453,15016,75915,-1933,16621,94469,92536,Kentucky
9/30/08,86605,15158,68167,-18452,15144,101763,83311,Kentucky
12/31/08,92031,15593,69643,-23996,13985,107624,83628,Kentucky
3/31/09,93170,16294,60488,-35479,13497,109464,73985,Kentucky
6/30/09,88448,14617,67360,-21320,14385,103065,81745,Kentucky
9/30/09,76291,13919,70244,-5581,14385,90210,84629,Kentucky
12/31/09,71564,14577,73867,2332,14606,86141,88473,Kentucky
3/31/10,71817,12423,66552,-5270,12418,84240,78970,Kentucky
6/30/10,66155,13944,73045,7727,14781,80099,87826,Kentucky
9/30/10,68514,13035,68917,2300,14932,81549,83849,Kentucky
12/31/10,69347,11461,76762,10601,14647,80808,91409,Kentucky
3/31/11,70107,13092,72155,1965,13009,83199,85164,Kentucky
6/30/11,67589,13876,72532,5736,14669,81465,87201,Kentucky
9/30/11,68350,11115,75649,11169,14985,79465,90634,Kentucky
12/31/11,70131,12819,72909,3232,13273,82950,86182,Kentucky
3/31/12,67991,12003,78401,11635,13228,79994,91629,Kentucky
6/30/12,68171,12024,74475,8213,13933,80195,88408,Kentucky
9/30/12,73654,12449,68725,-3419,13959,86103,82684,Kentucky
12/31/12,68070,13107,76965,11344,15556,81177,92521,Kentucky
3/31/13,72550,12595,72770,2870,15245,85145,88015,Kentucky
6/30/13,71286,12258,71457,3224,15311,83544,86768,Kentucky
9/30/13,69559,12357,73100,6193,15009,81916,88109,Kentucky
12/31/13,67650,13513,81125,15296,15334,81163,96459,Kentucky
3/31/14,75309,13543,75225,3826,17453,88852,92678,Kentucky
6/30/14,69733,13748,75956,8399,15924,83481,91880,Kentucky
9/30/14,70065,12164,76108,9665,15786,82229,91894,Kentucky
12/31/14,66309,15280,85374,19275,15490,81589,100864,Kentucky
3/31/15,80537,12384,69965,-8023,14933,92921,84898,Kentucky
6/30/15,70445,13708,82885,13666,14934,84153,97819,Kentucky
9/30/15,73918,13514,76065,6137,17504,87432,93569,Kentucky
12/31/15,68473,15221,87926,20037,15805,83694,103731,Kentucky
3/31/16,80668,12037,74368,-1963,16374,92705,90742,Kentucky
6/30/16,79813,13729,79644,3991,17889,93542,97533,Kentucky
9/30/16,80241,18748,88203,8163,18949,98989,107152,Kentucky
12/31/16,74964,15698,80735,5017,14944,90662,95679,Kentucky
3/31/17,73056,12776,76050,5046,14828,85832,90878,Kentucky
6/30/17,79680,14745,75362,976,20039,94425,95401,Kentucky
9/30/17,74445,17344,77374,767,15182,91789,92556,Kentucky
12/31/17,69932,16135,80080,7831,13818,86067,93898,Kentucky
9/30/92,66696,10681,70926,7407,13858,77377,84784,Kentucky
12/31/92,68558,12382,69558,4889,16271,80940,85829,Kentucky
3/31/93,69176,14084,72078,6230,17412,83260,89490,Kentucky
6/30/93,65316,12463,78812,18674,17641,77779,96453,Kentucky
9/30/93,68758,11489,78728,14680,16199,80247,94927,Kentucky
12/31/93,71797,14566,73927,3842,16278,86363,90205,Kentucky
3/31/94,67511,14470,83013,16980,15948,81981,98961,Kentucky
6/30/94,68826,13217,87912,22380,16511,82043,104423,Kentucky
9/30/94,73316,12628,83212,13194,15926,85944,99138,Kentucky
12/31/94,75681,13017,79387,7666,16977,88698,96364,Kentucky
3/31/95,76413,16259,81491,6760,17941,92672,99432,Kentucky
6/30/95,75943,11637,81310,12063,18333,87580,99643,Kentucky
9/30/95,78991,13844,82695,9240,19380,92835,102075,Kentucky
12/31/95,80131,13916,76252,-2549,15246,94047,91498,Kentucky
3/31/96,75023,17880,81662,6213,17454,92903,99116,Kentucky
6/30/96,76280,18546,82781,6510,18555,94826,101336,Kentucky
9/30/96,78097,13802,84376,14832,22355,91899,106731,Kentucky
12/31/96,79555,15659,80252,3376,18338,95214,98590,Kentucky
3/31/97,74439,18976,88267,13215,18363,93415,106630,Kentucky
6/30/97,77117,16571,84419,9826,19095,93688,103514,Kentucky
9/30/97,82234,17477,88303,7012,18420,99711,106723,Kentucky
12/31/97,79763,16899,82831,5176,19007,96662,101838,Kentucky
3/31/98,80309,18844,88345,7824,18632,99153,106977,Kentucky
6/30/98,81242,19129,87785,9879,22465,100371,110250,Kentucky
9/30/98,84673,18409,93292,11029,20819,103082,114111,Kentucky
12/31/98,84735,14384,85871,4953,18201,99119,104072,Kentucky
3/31/99,82712,19659,86829,8639,24181,102371,111010,Kentucky
6/30/99,84916,20434,92470,8051,20931,105350,113401,Kentucky
9/30/99,85454,22023,101170,13972,20279,107477,121449,Kentucky
12/31/99,87189,19005,88350,2373,20217,106194,108567,Kentucky
3/31/00,81144,15258,94147,20578,22833,96402,116980,Kentucky
6/30/00,89617,18393,81085,-13021,13904,108010,94989,Kentucky
9/30/00,87674,21641,95431,7230,21114,109315,116545,Kentucky
12/31/00,89842,16525,87036,-2649,16682,106367,103718,Kentucky
3/31/01,93395,19071,78470,-13394,20602,112466,99072,Kentucky
6/30/01,101761,23561,86206,-20286,18830,125322,105036,Kentucky
9/30/01,90786,21059,79696,-14740,17409,111845,97105,Kentucky
12/31/01,86824,20470,73694,-12181,21419,107294,95113,Kentucky
3/31/02,79289,19941,82648,5675,22257,99230,104905,Kentucky
6/30/02,85046,17930,77216,-5379,20381,102976,97597,Kentucky
9/30/02,80921,17771,79769,-1992,16931,98692,96700,Kentucky
12/31/02,82943,16746,79900,-1297,18492,99689,98392,Kentucky
3/31/03,76627,18317,77754,-669,16521,94944,94275,Kentucky
6/30/03,78294,16984,74359,-3440,17479,95278,91838,Kentucky
9/30/03,71279,15473,78278,7776,16250,86752,94528,Kentucky
12/31/03,74034,17367,80942,4765,15224,91401,96166,Kentucky
3/31/04,76987,16410,76560,1005,17842,93397,94402,Kentucky
6/30/04,72837,14161,74465,6531,19064,86998,93529,Kentucky
9/30/04,70045,18331,77122,6487,17741,88376,94863,Kentucky
12/31/04,72162,16430,76942,9042,20692,88592,97634,Kentucky
3/31/05,76684,16655,83685,7810,17464,93339,101149,Kentucky
6/30/05,75735,15093,78600,5704,17932,90828,96532,Kentucky
9/30/05,74219,16092,77554,6151,18908,90311,96462,Kentucky
12/31/05,76982,18530,74770,-2139,18603,95512,93373,Kentucky
3/31/06,68287,13830,83152,20730,19695,82117,102847,Kentucky
6/30/06,78587,16373,75765,-5876,13319,94960,89084,Kentucky
9/30/06,76845,20368,76777,-3023,17413,97213,94190,Kentucky
12/31/06,75923,15075,80575,13226,23649,90998,104224,Kentucky
3/31/07,80285,14919,88087,10156,17273,95204,105360,Kentucky
6/30/07,79835,14934,81345,2871,16295,94769,97640,Kentucky
9/30/07,79322,17186,72388,-8470,15650,96508,88038,Kentucky
12/31/07,78012,13858,79010,4667,17527,91870,96537,Kentucky
3/31/08,79715,14016,76921,-2385,14425,93731,91346,Kentucky
6/30/08,79453,15016,75915,-1933,16621,94469,92536,Kentucky
