"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"47000","Tennessee","5","SA25 1/","438","372-379","          Other transportation equipment",11315,11030,9485,10712,12099,11341,7869,8551,9227,10435,10680,10115,11628,10327,11496,12563,13312,14516,15243,14527,14060,13396,11950,11761,11117,11833,11379,10524,10752,10681,10600,10181,"(NA)"
"47000","Tennessee","5","SA25 1/","441","38","          Instruments and related products",4177,4071,3654,4223,4640,5386,5184,5467,6093,6710,7184,6922,7648,8782,8799,8858,9353,9341,9285,9984,10689,10504,10933,10282,9897,9980,10582,10611,10835,11162,10785,10849,"(NA)"
"47000","Tennessee","5","SA25 1/","444","39","          Miscellaneous manufacturing industries",10097,9620,10174,10937,11963,11564,10757,11730,11858,12503,12907,12463,12305,10950,11585,11851,12012,12222,12799,13390,13626,13357,11877,12557,12844,13159,13405,13273,13015,12748,12431,12241,"(NA)"
"47000","Tennessee","5","SA25 1/","447","...","          Ordnance 3/",9369,6501,5182,5078,5550,5016,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"47000","Tennessee","5","SA25 1/","450","...","        Nondurable goods manufacturing",273751,270874,271071,282985,294648,288867,267539,281530,288490,291205,289216,283224,284624,267954,267373,262226,253891,252232,254684,259403,263796,263029,255748,258448,260157,258577,251933,235231,228968,223484,213904,207865,197712
"47000","Tennessee","5","SA25 1/","453","20","          Food and kindred products",35550,36536,36451,37412,38453,39159,38731,40300,40977,40342,39449,38767,37843,37896,36821,37358,38081,38445,38741,38981,38602,39191,37574,36865,37652,37876,37045,35572,36115,37387,38666,39639,"(NA)"
"47000","Tennessee","5","SA25 1/","456","21","          Tobacco products",953,1075,1086,970,1326,1324,1372,1499,1569,1524,1477,1472,1590,1693,1607,1619,1735,1600,1412,1394,1369,1407,1326,1248,1265,1237,1194,1174,1105,1119,1062,1082,"(NA)"
"47000","Tennessee","5","SA25 1/","459","22","          Textile mill products",36202,36055,34025,34905,35724,33320,27209,29028,28207,28970,27193,26392,26280,24636,25106,25761,23089,22952,24035,23146,21901,21123,21018,21025,21550,21797,20886,19560,18587,17929,16473,15774,"(NA)"
"47000","Tennessee","5","SA25 1/","462","23","          Apparel and other textile products",66695,66209,67274,72512,75871,73586,66625,71891,72484,71147,69521,69300,69185,63516,64888,68558,64307,64934,65255,65727,65850,65110,61770,62044,61142,58314,53348,43542,39157,33969,27202,22930,"(NA)"
"47000","Tennessee","5","SA25 1/","465","26","          Paper and allied products",13777,13796,14251,14683,15507,15704,15135,15684,16639,17469,18639,18226,18058,17021,16935,17587,18056,18192,18877,19883,20826,21423,21584,22310,22483,22461,22200,21516,21978,22296,22274,22229,"(NA)"
"47000","Tennessee","5","SA25 1/","468","27","          Printing and publishing",18380,18460,18145,19662,20613,21452,20474,22149,23719,24614,25753,25434,26158,26603,28179,29550,30465,31881,33093,35012,37065,37785,36940,36840,37712,38886,39481,38791,39408,39111,38519,37526,"(NA)"
"47000","Tennessee","5","SA25 1/","471","28","          Chemicals and allied products",65828,61174,59598,59110,60874,60575,56538,58668,59094,59603,59779,60037,59419,57619,55329,43041,41450,39616,38797,38598,39852,38855,38422,38311,38159,36718,36689,35703,33390,32291,30803,28921,"(NA)"
"47000","Tennessee","5","SA25 1/","474","29","          Petroleum and coal products",559,636,688,938,770,659,674,722,684,667,639,590,666,691,766,715,847,890,868,821,818,797,793,738,787,878,940,1045,1061,1057,1055,1243,"(NA)"
"47000","Tennessee","5","SA25 1/","477","30","          Rubber and miscellaneous plastics products",12068,14198,14918,16817,19179,19668,18930,18773,23302,25453,26452,23350,23689,21249,22634,24307,24692,23560,24235,26441,27905,28215,27874,30230,30851,33288,34128,33832,34356,34737,34688,35525,"(NA)"
"47000","Tennessee","5","SA25 1/","480","31","          Leather and leather products",23739,22735,24635,25976,26331,23420,21851,22816,21815,21416,20314,19656,21736,17030,15108,13730,11169,10162,9371,9400,9608,9123,8447,8837,8556,7122,6022,4496,3811,3588,3162,2996,"(NA)"
"47000","Tennessee","5","SA25 1/","500","E","      Transportation and public utilities",73259,73895,74501,78443,82894,85234,81994,84382,88727,95318,100025,99840,100423,98831,98776,105247,109677,114741,121549,126335,133445,136686,138525,139367,147776,156226,161597,168474,176310,189617,202036,211098,211993
"47000","Tennessee","5","SA25 1/","510","40","        Railroad transportation",12021,11684,11416,11128,11208,11590,11191,10710,10635,10646,11002,10718,10164,9106,8430,8417,7964,7238,6858,6527,6479,6084,5658,5387,5135,4959,5063,4766,4552,"(D)","(D)","(D)","(NA)"
"47000","Tennessee","5","SA25 1/","520","42","        Trucking and warehousing",29730,29574,30064,33798,36297,36546,34189,36476,39852,43192,44456,43022,42726,41590,42418,46443,48053,49611,54662,53144,53195,54537,54643,54624,60119,63672,68286,70828,74954,84680,93671,100485,"(NA)"
"47000","Tennessee","5","SA25 1/","530","44","        Water transportation",972,970,1067,979,1029,1106,1121,1242,1310,1514,1453,1573,2070,1712,1502,1577,1676,1528,1717,1861,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2962,2964,3006,"(NA)"
"47000","Tennessee","5","SA25 1/","540","41, 45-47","        Other transportation",9669,9593,9657,9478,9980,11041,11220,11109,11341,13098,15106,15694,16362,17228,18410,22036,25202,29442,31294,37210,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"47000","Tennessee","5","SA25 1/","541","41","          Local and interurban passenger transit",5562,5424,5317,5370,5357,5601,5551,4964,4520,5106,5597,5354,5337,5455,4952,5068,4925,5073,4963,5072,5169,5344,5609,5600,6143,6495,6995,7913,8268,8617,9020,9119,"(NA)"
"47000","Tennessee","5","SA25 1/","542","45","          Transportation by air",2975,2870,2935,2850,3162,3813,4119,4373,4995,6014,7402,8134,8576,8984,10346,13352,15955,19545,21750,27154,33213,32480,34183,36034,36517,38583,39564,41466,43415,46428,47556,47553,"(NA)"
"47000","Tennessee","5","SA25 1/","543","46","          Pipelines, except natural gas",40,37,39,42,40,45,42,51,50,47,45,47,46,44,45,43,44,42,42,40,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"47000","Tennessee","5","SA25 1/","544","47","          Transportation services",1092,1262,1366,1216,1421,1582,1508,1721,1776,1931,2062,2159,2403,2745,3067,3573,4278,4782,4539,4944,5165,5518,5754,5584,6426,7648,8130,8365,9129,10074,10155,10332,"(NA)"
"47000","Tennessee","5","SA25 1/","560","48","        Communications",17045,18084,18290,18720,19871,20496,19855,20508,21045,22323,23232,23783,23736,23642,22326,20973,20809,20636,20647,21088,21531,22841,22464,21474,22346,23090,21719,22497,23256,23031,25196,27419,"(NA)"
"47000","Tennessee","5","SA25 1/","570","49","        Electric, gas, and sanitary services",3822,3990,4007,4340,4509,4455,4418,4337,4544,4545,4776,5050,5365,5553,5690,5801,5973,6286,6371,6505,6612,7584,7921,8459,8814,9314,9492,10108,10064,9170,8780,8718,"(NA)"
