GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
Florida,1999,256200,459431,160102,37588,82.053,592366,-2250,45380,43130
Georgia,1999,156096,287670,114182,44998,89.899,362049,-1213,18605,17391
Hawaii,1999,22224,39177,13932,43390,80.811,52515,-233,3254,3021
Idaho,1999,18518,34390,14000,32004,75.841,40827,-433,2306,1873
Illinois,1999,268835,465795,166513,47951,92.603,592630,-1871,32318,30447
Indiana,1999,112245,195668,72152,40389,92.698,244149,-570,11841,11271
Iowa,1999,49183,88936,34373,38058,81.291,111040,-714,6094,5380
Kansas,1999,48385,82944,29190,39230,85.821,105071,-608,5977,5370
Kentucky,1999,62888,115931,45224,37036,95.324,148813,-533,8352,7819
Louisiana,1999,65745,127230,52186,42373,90.221,189020,-427,9727,9300
Maine,1999,20145,34350,11177,35119,88.585,44489,-143,3171,3028
Maryland,1999,105936,181987,65618,44780,77.587,235295,-697,11129,10432
Massachusetts,1999,158500,264906,93774,51024,84.217,322339,-994,13626,12632
Michigan,1999,202962,338889,115584,41956,113.330,415242,-998,21340,20342
Minnesota,1999,107150,176966,58905,45580,85.615,222136,-946,11858,10912
Mississippi,1999,36636,64142,22404,29321,89.966,82932,-410,5512,5102
Missouri,1999,102614,177924,64459,40917,91.187,227580,-591,11443,10851
Montana,1999,11409,20834,8066,31337,78.992,28125,-212,1571,1359
Nebraska,1999,30999,54427,20398,40643,79.920,69286,-649,3679,3030
Nevada,1999,39669,70376,25207,48817,79.047,94446,-200,5700,5500
New Hampshire,1999,23476,41229,14738,41440,83.454,50641,-101,3115,3014
New Jersey,1999,191687,336975,117707,51394,88.734,429636,-1207,28788,27581
New Mexico,1999,25054,53210,24801,37455,81.898,67723,-317,3672,3355
New York,1999,438047,785301,296198,51818,85.536,978463,-4210,55265,51056
North Carolina,1999,146110,263633,102287,41557,80.788,330354,-1162,16399,15236
North Dakota,1999,9621,17042,6210,33919,67.521,21852,-305,1516,1211
Ohio,1999,218874,374613,132767,41559,98.575,471091,-1137,24109,22972
Oklahoma,1999,48554,85368,31569,33276,79.769,114373,-475,5720,5245
Oregon,1999,63080,107980,40636,35634,66.735,120940,-747,5011,4264
Pennsylvania,1999,228756,389766,136168,41021,88.606,503072,-1567,26408,24842
Rhode Island,1999,18487,32194,11233,39847,86.730,41457,-105,2578,2473
South Carolina,1999,63598,111539,40376,36006,88.865,143113,-359,7924,7565
South Dakota,1999,11067,21488,9044,33926,69.743,25459,-408,1785,1377
Tennessee,1999,97751,176549,66792,39343,89.698,221841,-458,12464,12006
Texas,1999,372277,691405,265446,44342,77.816,911597,-2738,56420,53682
Utah,1999,37247,65525,24131,37950,73.017,83623,-253,4400,4147
Vermont,1999,10145,17141,5580,34922,83.723,21117,-99,1514,1415
Virginia,1999,145670,251671,91114,46292,79.071,324050,-744,15631,14887
Washington,1999,125550,230725,86619,50560,84.083,295398,-1241,19798,18557
West Virginia,1999,23339,41720,15020,32101,91.612,58160,-92,3454,3361
Wisconsin,1999,103901,173789,57642,41125,89.216,219307,-984,13230,12246
Wyoming,1999,7795,15721,6432,49170,64.977,24181,-109,1604,1495
Alabama,2000,69911,120428,43130,33712,88.504,150090,-567,7954,7387
Alaska,2000,13879,26932,10680,57401,71.358,36046,-63,2436,2373
Arizona,2000,90959,166108,64281,39247,83.313,202536,-645,11513,10868
Arkansas,2000,38839,69111,25883,32057,85.785,85869,-572,4962,4389
California,2000,768142,1377014,531355,48635,86.379,1653021,-7912,85429,77517
Colorado,2000,103562,178331,64819,50544,87.451,218698,-780,10730,9950
Connecticut,2000,94783,166995,60892,60661,91.544,206960,-466,11786,11320
Delaware,2000,19117,41677,20730,64013,89.294,50338,-138,1968,1831
District of Columbia,2000,42937,60458,15891,139750,80.802,79944,-352,1983,1631
Florida,2000,277983,490538,168048,38404,85.366,616284,-2245,46752,44507
Georgia,2000,168695,304942,117646,45539,93.032,374665,-1205,19807,18602
Hawaii,2000,23454,41247,14528,44067,82.290,53476,-228,3493,3264
Idaho,2000,20438,38416,16010,35034,84.568,45525,-444,2412,1968
Illinois,2000,285882,492922,175193,49276,95.741,612709,-1915,33762,31847
Indiana,2000,118095,205807,75947,41302,95.530,251606,-663,12427,11764
Iowa,2000,51773,95021,37902,39824,85.396,116647,-892,6237,5346
Kansas,2000,51184,87446,30628,40077,88.176,107955,-577,6211,5634
