contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
21287,5316,21941,March,1604,6266,Montana,26603,28207,1999.0
20488,7152,21556,June,145,6229,Montana,27640,27785,1999.0
19759,6496,22351,September,2870,6774,Montana,26255,29125,1999.0
19497,8286,21555,December,-1375,4853,Montana,27783,26408,1999.0
20294,5611,21948,March,5658,9615,Montana,25905,31563,2000.0
20730,8009,22526,June,736,6949,Montana,28739,29475,2000.0
22393,8079,23156,September,-599,6717,Montana,30472,29873,2000.0
21040,7475,21406,December,-1050,6059,Montana,28515,27465,2000.0
21276,7424,24053,March,5365,10012,Montana,28700,34065,2001.0
21988,6732,21660,June,-842,6218,Montana,28720,27878,2001.0
21808,7406,21748,September,-1259,6207,Montana,29214,27955,2001.0
20722,5102,20564,December,381,5641,Montana,25824,26205,2001.0
20831,5950,21418,March,1641,7004,Montana,26781,28422,2002.0
19781,5072,21783,June,3512,6582,Montana,24853,28365,2002.0
21424,8056,21492,September,-980,7008,Montana,29480,28500,2002.0
20768,5194,20789,December,1812,6985,Montana,25962,27774,2002.0
20608,6631,21415,March,1312,7136,Montana,27239,28551,2003.0
22096,7057,22096,June,-1086,5971,Montana,29153,28067,2003.0
21709,6798,22066,September,29,6470,Montana,28507,28536,2003.0
20576,6220,22517,December,3918,8197,Montana,26796,30714,2003.0
19520,5319,22405,March,3906,6340,Montana,24839,28745,2004.0
20851,5802,22953,June,2974,6674,Montana,26653,29627,2004.0
20941,5443,21025,September,537,5896,Montana,26384,26921,2004.0
20161,5254,24024,December,4787,6178,Montana,25415,30202,2004.0
20594,5734,24227,March,3871,5972,Montana,26328,30199,2005.0
22022,5955,22191,June,321,6107,Montana,27977,28298,2005.0
21177,4965,22913,September,3611,6840,Montana,26142,29753,2005.0
21390,5105,24176,December,3943,6262,Montana,26495,30438,2005.0
20813,5639,27517,March,6909,5844,Montana,26452,33361,2006.0
22929,4874,23952,June,2289,6140,Montana,27803,30092,2006.0
24488,5867,22357,September,-2615,5383,Montana,30355,27740,2006.0
21482,5281,26544,December,6010,6229,Montana,26763,32773,2006.0
21236,5431,27488,March,6806,5985,Montana,26667,33473,2007.0
25037,6053,23942,June,-1481,5667,Montana,31090,29609,2007.0
24673,5398,23480,September,-669,5922,Montana,30071,29402,2007.0
22786,5373,25206,December,4453,7406,Montana,28159,32612,2007.0
24866,5895,25409,March,846,6198,Montana,30761,31607,2008.0
26887,5918,22129,June,-5163,5513,Montana,32805,27642,2008.0
24091,5249,22303,September,-1420,5617,Montana,29340,27920,2008.0
25201,6125,21416,December,-3533,6377,Montana,31326,27793,2008.0
29005,7145,19297,March,-11681,5172,Montana,36150,24469,2009.0
23650,6159,20901,June,-2912,5996,Montana,29809,26897,2009.0
22434,5245,20032,September,-2190,5457,Montana,27679,25489,2009.0
23057,5556,22166,December,-559,5888,Montana,28613,28054,2009.0
21990,6042,20820,March,-1820,5392,Montana,28032,26212,2010.0
20685,5695,21006,June,436,5810,Montana,26380,26816,2010.0
19934,5170,21733,September,2162,5533,Montana,25104,27266,2010.0
22103,5366,21159,December,-221,6089,Montana,27469,27248,2010.0
19202,5556,20498,March,349,4609,Montana,24758,25107,2011.0
20580,5085,21419,June,1640,5886,Montana,25665,27305,2011.0
19474,4712,23246,September,4797,5737,Montana,24186,28983,2011.0
21286,5463,22095,December,1636,6290,Montana,26749,28385,2011.0
